player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Williams,willija06,2025,1,147.0,1.0,2024-10-24,,,DEN,"W, 102-87",*,,5.0,16.0,0.313,2.0,8.0,0.25,3.0,8.0,0.375,0.375,0.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,5.0,3.0,12.0,1.0,0.0
Jalen Williams,willija06,2025,2,148.0,2.0,2024-10-26,,,CHI,"W, 114-95",*,,10.0,22.0,0.455,1.0,4.0,0.25,9.0,18.0,0.5,0.477,3.0,3.0,1.0,2.0,7.0,9.0,8.0,0.0,0.0,2.0,1.0,24.0,19.3,5.0
Jalen Williams,willija06,2025,3,149.0,3.0,2024-10-27,,,ATL,"W, 128-104",*,,8.0,17.0,0.471,0.0,3.0,0.0,8.0,14.0,0.571,0.471,4.0,8.0,0.5,2.0,7.0,9.0,5.0,2.0,0.0,0.0,4.0,20.0,17.1,14.0
Jalen Williams,willija06,2025,4,150.0,4.0,2024-10-30,,,SAS,"W, 105-93",*,,5.0,13.0,0.385,1.0,3.0,0.333,4.0,10.0,0.4,0.423,1.0,2.0,0.5,0.0,7.0,7.0,8.0,4.0,1.0,1.0,3.0,12.0,14.7,19.0
Jalen Williams,willija06,2025,5,151.0,5.0,2024-11-01,,,POR,"W, 137-114",*,,8.0,12.0,0.667,4.0,6.0,0.667,4.0,6.0,0.667,0.833,2.0,2.0,1.0,1.0,4.0,5.0,4.0,4.0,0.0,3.0,2.0,22.0,21.7,16.0
Jalen Williams,willija06,2025,6,152.0,6.0,2024-11-02,,,LAC,"W, 105-92",*,,5.0,16.0,0.313,3.0,5.0,0.6,2.0,11.0,0.182,0.406,2.0,2.0,1.0,0.0,7.0,7.0,4.0,2.0,0.0,4.0,4.0,15.0,7.1,10.0
Jalen Williams,willija06,2025,7,153.0,7.0,2024-11-04,,,ORL,"W, 102-86",*,,10.0,17.0,0.588,3.0,7.0,0.429,7.0,10.0,0.7,0.676,0.0,0.0,,0.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,23.0,18.5,-1.0
Jalen Williams,willija06,2025,8,154.0,8.0,2024-11-06,,,DEN,"L, 122-124",*,,11.0,20.0,0.55,4.0,8.0,0.5,7.0,12.0,0.583,0.65,3.0,5.0,0.6,2.0,8.0,10.0,9.0,3.0,0.0,1.0,4.0,29.0,29.1,3.0
Jalen Williams,willija06,2025,9,155.0,9.0,2024-11-08,,,HOU,"W, 126-107",*,,7.0,11.0,0.636,0.0,1.0,0.0,7.0,10.0,0.7,0.636,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,1.0,3.0,3.0,14.0,9.2,21.0
Jalen Williams,willija06,2025,10,156.0,10.0,2024-11-10,,,GSW,"L, 116-127",*,,9.0,15.0,0.6,0.0,2.0,0.0,9.0,13.0,0.692,0.6,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,20.0,16.2,-19.0
Jalen Williams,willija06,2025,11,157.0,11.0,2024-11-11,,,LAC,"W, 134-128",*,,11.0,16.0,0.688,2.0,3.0,0.667,9.0,13.0,0.692,0.75,4.0,4.0,1.0,2.0,6.0,8.0,6.0,2.0,0.0,2.0,4.0,28.0,27.0,5.0
Jalen Williams,willija06,2025,12,158.0,12.0,2024-11-13,,,NOP,"W, 106-88",*,,10.0,18.0,0.556,4.0,7.0,0.571,6.0,11.0,0.545,0.667,7.0,7.0,1.0,1.0,5.0,6.0,7.0,4.0,2.0,2.0,1.0,31.0,32.5,13.0
Jalen Williams,willija06,2025,13,159.0,13.0,2024-11-15,,,PHO,"W, 99-83",*,,6.0,16.0,0.375,0.0,4.0,0.0,6.0,12.0,0.5,0.375,2.0,2.0,1.0,0.0,8.0,8.0,3.0,2.0,2.0,1.0,3.0,14.0,10.9,12.0
Jalen Williams,willija06,2025,14,160.0,14.0,2024-11-17,,,DAL,"L, 119-121",*,,11.0,17.0,0.647,3.0,6.0,0.5,8.0,11.0,0.727,0.735,2.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,27.0,24.0,-2.0
Jalen Williams,willija06,2025,15,161.0,15.0,2024-11-19,,,SAS,"L, 104-110",*,,13.0,26.0,0.5,0.0,6.0,0.0,13.0,20.0,0.65,0.5,1.0,1.0,1.0,3.0,7.0,10.0,5.0,5.0,0.0,1.0,3.0,27.0,24.5,-17.0
Jalen Williams,willija06,2025,16,162.0,16.0,2024-11-20,,,POR,"W, 109-99",*,,11.0,19.0,0.579,5.0,9.0,0.556,6.0,10.0,0.6,0.711,3.0,3.0,1.0,0.0,7.0,7.0,8.0,2.0,2.0,3.0,3.0,30.0,28.0,14.0
Jalen Williams,willija06,2025,17,163.0,17.0,2024-11-25,,,SAC,"W, 130-109",*,,10.0,16.0,0.625,3.0,7.0,0.429,7.0,9.0,0.778,0.719,5.0,5.0,1.0,0.0,4.0,4.0,5.0,2.0,1.0,5.0,3.0,28.0,22.0,16.0
Jalen Williams,willija06,2025,18,164.0,18.0,2024-11-27,,,GSW,"W, 105-101",*,,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.667,5.0,8.0,0.625,1.0,5.0,6.0,7.0,2.0,1.0,2.0,1.0,13.0,16.2,4.0
Jalen Williams,willija06,2025,19,165.0,19.0,2024-11-29,,,LAL,"W, 101-93",*,,8.0,19.0,0.421,2.0,5.0,0.4,6.0,14.0,0.429,0.474,1.0,2.0,0.5,0.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,19.0,8.9,-3.0
