player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mark Williams,willima07,2025,1,63.0,21.0,2024-12-03,,,PHI,"L, 104-110",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,2.6,-11.0
Mark Williams,willima07,2025,2,64.0,22.0,2024-12-05,,,NYK,"L, 101-125",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,6.0,6.6,-11.0
Mark Williams,willima07,2025,3,65.0,23.0,2024-12-07,,,CLE,"L, 102-116",,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,2.0,3.0,0.667,3.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,12.0,12.8,-4.0
Mark Williams,willima07,2025,4,66.0,25.0,2024-12-13,,,CHI,"L, 95-109",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,3.0,4.0,0.75,4.0,5.0,9.0,2.0,0.0,1.0,0.0,3.0,15.0,17.3,-12.0
Mark Williams,willima07,2025,5,67.0,26.0,2024-12-16,,,PHI,"L, 108-121",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,1.0,2.0,0.5,1.0,2.0,3.0,3.0,0.0,3.0,1.0,3.0,7.0,7.6,-11.0
Mark Williams,willima07,2025,6,68.0,27.0,2024-12-19,,,WAS,"L, 114-123",*,,7.0,12.0,0.583,0.0,0.0,,7.0,12.0,0.583,0.583,2.0,3.0,0.667,3.0,5.0,8.0,1.0,1.0,1.0,0.0,1.0,16.0,15.6,3.0
Mark Williams,willima07,2025,7,69.0,29.0,2024-12-23,,,HOU,"L, 101-114",*,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,4.0,5.0,0.8,2.0,7.0,9.0,3.0,1.0,0.0,1.0,3.0,12.0,12.0,-14.0
Mark Williams,willima07,2025,8,70.0,30.0,2024-12-26,,,WAS,"L, 110-113",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,0.0,0.0,,2.0,6.0,8.0,5.0,1.0,0.0,0.0,4.0,16.0,17.6,6.0
Mark Williams,willima07,2025,9,71.0,31.0,2024-12-28,,,OKC,"L, 94-106",*,,4.0,9.0,0.444,0.0,0.0,,4.0,9.0,0.444,0.444,4.0,5.0,0.8,2.0,8.0,10.0,2.0,0.0,1.0,1.0,3.0,12.0,10.6,-15.0
Mark Williams,willima07,2025,10,72.0,32.0,2024-12-30,,,CHI,"L, 108-115 (OT)",*,,9.0,9.0,1.0,0.0,0.0,,9.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,10.0,12.0,2.0,2.0,3.0,1.0,1.0,20.0,25.8,12.0
Mark Williams,willima07,2025,11,73.0,33.0,2025-01-03,,,DET,"L, 94-98",*,,7.0,12.0,0.583,0.0,1.0,0.0,7.0,11.0,0.636,0.583,4.0,5.0,0.8,4.0,5.0,9.0,1.0,0.0,1.0,3.0,3.0,18.0,13.5,-14.0
Mark Williams,willima07,2025,12,74.0,34.0,2025-01-05,,,CLE,"L, 105-115",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,3.0,3.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,2.0,5.0,11.0,9.2,-9.0
