player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Nickeil Alexander-Walker,alexani01,2026,1,382.0,1.0,2025-10-22,,,TOR,"L, 118-138",,,2.0,15.0,0.133,1.0,5.0,0.2,1.0,10.0,0.1,0.167,5.0,6.0,0.833,1.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,10.0,4.2,-2.0
Nickeil Alexander-Walker,alexani01,2026,2,383.0,2.0,2025-10-24,,,ORL,"W, 111-107",*,,8.0,18.0,0.444,1.0,10.0,0.1,7.0,8.0,0.875,0.472,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,19.0,12.7,-1.0
Nickeil Alexander-Walker,alexani01,2026,3,384.0,3.0,2025-10-25,,,OKC,"L, 100-117",*,,6.0,10.0,0.6,3.0,6.0,0.5,3.0,4.0,0.75,0.75,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,17.0,15.8,-18.0
Nickeil Alexander-Walker,alexani01,2026,4,385.0,4.0,2025-10-27,,,CHI,"L, 123-128",,,6.0,11.0,0.545,4.0,6.0,0.667,2.0,5.0,0.4,0.727,1.0,2.0,0.5,2.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,17.0,14.9,-13.0
Nickeil Alexander-Walker,alexani01,2026,5,386.0,5.0,2025-10-29,,,BRK,"W, 117-112",,,7.0,17.0,0.412,2.0,8.0,0.25,5.0,9.0,0.556,0.471,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,18.0,14.6,-2.0
Nickeil Alexander-Walker,alexani01,2026,6,387.0,6.0,2025-10-31,,,IND,"W, 128-108",*,,8.0,14.0,0.571,1.0,5.0,0.2,7.0,9.0,0.778,0.607,4.0,5.0,0.8,1.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,21.0,16.0,17.0
Nickeil Alexander-Walker,alexani01,2026,7,388.0,7.0,2025-11-02,,,CLE,"L, 109-117",*,,3.0,11.0,0.273,0.0,4.0,0.0,3.0,7.0,0.429,0.273,10.0,11.0,0.909,0.0,3.0,3.0,5.0,0.0,1.0,5.0,3.0,16.0,8.0,-12.0
Nickeil Alexander-Walker,alexani01,2026,8,389.0,8.0,2025-11-04,,,ORL,"W, 127-112",*,,6.0,11.0,0.545,3.0,5.0,0.6,3.0,6.0,0.5,0.682,5.0,6.0,0.833,0.0,1.0,1.0,2.0,0.0,1.0,7.0,4.0,20.0,8.1,5.0
Nickeil Alexander-Walker,alexani01,2026,9,390.0,9.0,2025-11-07,,,TOR,"L, 97-109",*,,7.0,14.0,0.5,3.0,6.0,0.5,4.0,8.0,0.5,0.607,3.0,4.0,0.75,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,20.0,11.1,-13.0
Nickeil Alexander-Walker,alexani01,2026,10,391.0,12.0,2025-11-12,,,SAC,"W, 133-100",*,,5.0,11.0,0.455,1.0,4.0,0.25,4.0,7.0,0.571,0.5,3.0,3.0,1.0,1.0,5.0,6.0,5.0,0.0,2.0,4.0,1.0,14.0,11.0,44.0
Nickeil Alexander-Walker,alexani01,2026,11,392.0,13.0,2025-11-13,,,UTA,"W, 132-122",*,,4.0,11.0,0.364,1.0,3.0,0.333,3.0,8.0,0.375,0.409,7.0,8.0,0.875,1.0,1.0,2.0,5.0,2.0,2.0,2.0,0.0,16.0,15.4,15.0
Nickeil Alexander-Walker,alexani01,2026,12,393.0,14.0,2025-11-16,,,PHO,"W, 124-122",*,,9.0,18.0,0.5,3.0,9.0,0.333,6.0,9.0,0.667,0.583,5.0,7.0,0.714,1.0,2.0,3.0,4.0,2.0,0.0,2.0,2.0,26.0,19.5,22.0
