player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deandre Ayton,aytonde01,2026,1,399.0,1.0,2025-10-21,,,GSW,"L, 109-119",*,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,0.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,4.0,3.0,10.0,4.4,-4.0
Deandre Ayton,aytonde01,2026,2,400.0,2.0,2025-10-24,,,MIN,"W, 128-110",*,,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,1.0,2.0,0.5,3.0,5.0,8.0,0.0,0.0,1.0,2.0,3.0,15.0,10.8,9.0
Deandre Ayton,aytonde01,2026,3,401.0,3.0,2025-10-26,,,SAC,"W, 127-120",*,,10.0,17.0,0.588,0.0,0.0,10.0,17.0,0.588,0.588,2.0,4.0,0.5,5.0,10.0,15.0,2.0,1.0,1.0,3.0,4.0,22.0,18.3,-6.0
Deandre Ayton,aytonde01,2026,4,402.0,4.0,2025-10-27,,,POR,"L, 108-122",*,,8.0,15.0,0.533,0.0,0.0,8.0,15.0,0.533,0.533,0.0,0.0,,5.0,3.0,8.0,2.0,2.0,1.0,3.0,4.0,16.0,12.6,-10.0
Deandre Ayton,aytonde01,2026,5,403.0,5.0,2025-10-29,,,MIN,"W, 116-115",*,,8.0,11.0,0.727,0.0,0.0,8.0,11.0,0.727,0.727,1.0,2.0,0.5,1.0,9.0,10.0,3.0,0.0,1.0,2.0,3.0,17.0,15.1,0.0
Deandre Ayton,aytonde01,2026,6,404.0,6.0,2025-10-31,,,MEM,"W, 117-112",*,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,5.4,-17.0
Deandre Ayton,aytonde01,2026,7,405.0,8.0,2025-11-03,,,POR,"W, 123-115",*,,14.0,19.0,0.737,0.0,0.0,14.0,19.0,0.737,0.737,1.0,2.0,0.5,4.0,6.0,10.0,2.0,0.0,3.0,3.0,5.0,29.0,24.0,8.0
Deandre Ayton,aytonde01,2026,8,406.0,9.0,2025-11-05,,,SAS,"W, 118-116",*,,9.0,13.0,0.692,0.0,0.0,9.0,13.0,0.692,0.692,4.0,4.0,1.0,4.0,6.0,10.0,0.0,1.0,2.0,0.0,3.0,22.0,22.3,1.0
Deandre Ayton,aytonde01,2026,9,407.0,10.0,2025-11-08,,,ATL,"L, 102-122",*,,5.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,11.0,8.8,-15.0
Deandre Ayton,aytonde01,2026,10,408.0,11.0,2025-11-10,,,CHO,"W, 121-111",*,,7.0,10.0,0.7,0.0,0.0,7.0,10.0,0.7,0.7,0.0,0.0,,3.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,14.0,8.6,2.0
