player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Harrison Barnes,barneha01,2026,1,994.0,1.0,2025-10-22,,,DAL,"W, 125-92",*,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,7.0,1.8,27.0
Harrison Barnes,barneha01,2026,2,995.0,2.0,2025-10-24,,,NOP,"W, 120-116 (OT)",*,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,0.0,2.0,7.0,9.7,12.0
Harrison Barnes,barneha01,2026,3,996.0,3.0,2025-10-26,,,BRK,"W, 118-107",*,,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,0.222,0.0,0.0,,3.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,4.0,-1.1,-6.0
Harrison Barnes,barneha01,2026,4,997.0,4.0,2025-10-27,,,TOR,"W, 121-103",*,,6.0,7.0,0.857,4.0,5.0,0.8,2.0,2.0,1.0,1.143,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,2.0,18.0,16.2,12.0
Harrison Barnes,barneha01,2026,5,998.0,5.0,2025-10-30,,,MIA,"W, 107-101",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,10.0,6.8,-15.0
Harrison Barnes,barneha01,2026,6,999.0,6.0,2025-11-02,,,PHO,"L, 118-130",*,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,4.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,13.0,13.0,-25.0
Harrison Barnes,barneha01,2026,7,1000.0,7.0,2025-11-05,,,LAL,"L, 116-118",*,,4.0,6.0,0.667,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,2.0,1.0,1.0,5.0,6.0,3.0,0.0,0.0,0.0,6.0,14.0,13.3,0.0
Harrison Barnes,barneha01,2026,8,1001.0,8.0,2025-11-07,,,HOU,"W, 121-110",*,,8.0,11.0,0.727,6.0,9.0,0.667,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,3.0,4.0,24.0,20.2,18.0
Harrison Barnes,barneha01,2026,9,1002.0,9.0,2025-11-08,,,NOP,"W, 126-119",*,,6.0,8.0,0.75,3.0,5.0,0.6,3.0,3.0,1.0,0.938,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,11.0,-5.0
Harrison Barnes,barneha01,2026,10,1003.0,10.0,2025-11-10,,,CHI,"W, 121-117",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,2.0,3.0,0.667,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,7.2,11.0
