player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bruce Brown,brownbr01,2026,1,458.0,1.0,2025-10-23,,,GSW,"L, 131-137 (OT)",,,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,4,5,3,1,0,0,4,4,6.1,6
Bruce Brown,brownbr01,2026,2,459.0,2.0,2025-10-25,,,PHO,"W, 133-111",,,4,6,0.667,2,4,0.5,2,2,1.0,0.833,1,2,0.5,1,2,3,3,1,1,2,2,11,10.3,8
Bruce Brown,brownbr01,2026,3,460.0,3.0,2025-10-27,,,MIN,"W, 127-114",,,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,3,5,0,0,0,1,3,2,-0.3,0
Bruce Brown,brownbr01,2026,4,461.0,4.0,2025-10-29,,,NOP,"W, 122-88",,,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,2,2,4,2,2,0,1,2,5,7.3,13
Bruce Brown,brownbr01,2026,5,462.0,5.0,2025-10-31,,,POR,"L, 107-109",,,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,0,3,3,0,0,1,0,2,5,2.7,-4
Bruce Brown,brownbr01,2026,6,463.0,6.0,2025-11-03,,,SAC,"W, 130-124",,,5,10,0.5,2,2,1.0,3,8,0.375,0.6,1,1,1.0,1,5,6,3,0,0,1,2,13,10.5,-5
Bruce Brown,brownbr01,2026,7,464.0,7.0,2025-11-05,,,MIA,"W, 122-112",,,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,,2,1,3,2,2,0,3,3,5,1.8,3
Bruce Brown,brownbr01,2026,8,465.0,8.0,2025-11-07,,,GSW,"W, 129-104",,,1,4,0.25,0,1,0.0,1,3,0.333,0.25,4,4,1.0,0,1,1,1,0,0,1,3,6,2.4,-3
Bruce Brown,brownbr01,2026,9,466.0,9.0,2025-11-08,,,IND,"W, 117-100",,,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,0,,1,6,7,0,1,0,1,3,6,3.6,23
Bruce Brown,brownbr01,2026,10,467.0,10.0,2025-11-11,,,SAC,"W, 122-108",,,5,8,0.625,2,3,0.667,3,5,0.6,0.75,2,2,1.0,2,5,7,1,2,0,0,1,14,15.6,0
Bruce Brown,brownbr01,2026,11,468.0,11.0,2025-11-12,,,LAC,"W, 130-116",,,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,0,4,4,0,0,0,0,2,2,0.0,-4
Bruce Brown,brownbr01,2026,12,469.0,12.0,2025-11-15,,,MIN,"W, 123-112",,,1,7,0.143,1,2,0.5,0,5,0.0,0.214,4,4,1.0,2,4,6,1,0,0,0,2,7,5.0,3
Bruce Brown,brownbr01,2026,13,470.0,13.0,2025-11-17,,,CHI,"L, 127-130",,,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,0,1,0,-1.2,-17
Bruce Brown,brownbr01,2026,14,471.0,14.0,2025-11-19,,,NOP,"W, 125-118",,,5,7,0.714,0,1,0.0,5,6,0.833,0.714,2,4,0.5,1,2,3,4,3,0,2,3,12,12.2,22
Bruce Brown,brownbr01,2026,15,472.0,15.0,2025-11-21,,,HOU,"W, 112-109",,,4,8,0.5,0,2,0.0,4,6,0.667,0.5,2,2,1.0,0,1,1,3,3,1,0,3,10,10.9,-15
