player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Justin Champagnie,champju01,2026,1,119.0,1.0,2025-10-22,,,MIL,"L, 120-133",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,2.0
Justin Champagnie,champju01,2026,2,120.0,3.0,2025-10-26,,,CHO,"L, 113-139",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.6,-6.0
Justin Champagnie,champju01,2026,3,121.0,4.0,2025-10-28,,,PHI,"L, 134-139 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Justin Champagnie,champju01,2026,4,122.0,5.0,2025-10-30,,,OKC,"L, 108-127",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Justin Champagnie,champju01,2026,5,123.0,6.0,2025-11-01,,,ORL,"L, 94-125",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,-7.0
Justin Champagnie,champju01,2026,6,124.0,7.0,2025-11-03,,,NYK,"L, 102-119",*,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.1,-24.0
Justin Champagnie,champju01,2026,7,125.0,8.0,2025-11-05,,,BOS,"L, 107-136",*,,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.25,2.0,3.0,0.667,3.0,3.0,6.0,0.0,1.0,0.0,1.0,2.0,12.0,12.6,-9.0
Justin Champagnie,champju01,2026,8,126.0,9.0,2025-11-07,,,CLE,"L, 115-148",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,4.0,4.0,1.0,6.0,5.0,11.0,2.0,2.0,0.0,1.0,0.0,6.0,10.3,-15.0
Justin Champagnie,champju01,2026,9,127.0,10.0,2025-11-08,,,DAL,"L, 105-111",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,1.3,11.0
Justin Champagnie,champju01,2026,10,128.0,11.0,2025-11-10,,,DET,"L, 135-137 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-11.0
