player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jordan Clarkson,clarkjo01,2026,1,754.0,1.0,2025-10-22,,,CLE,"W, 119-111",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,4.0
Jordan Clarkson,clarkjo01,2026,2,755.0,2.0,2025-10-24,,,BOS,"W, 105-95",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,3.5,12.0
Jordan Clarkson,clarkjo01,2026,3,756.0,3.0,2025-10-26,,,MIA,"L, 107-115",,,2.0,11.0,0.182,0.0,4.0,0.0,2.0,7.0,0.286,0.182,4.0,5.0,0.8,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,8.0,2.0,-12.0
Jordan Clarkson,clarkjo01,2026,4,757.0,4.0,2025-10-28,,,MIL,"L, 111-121",,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,6.1,-2.0
Jordan Clarkson,clarkjo01,2026,5,758.0,5.0,2025-10-31,,,CHI,"L, 125-135",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,6.0,3.6,-5.0
Jordan Clarkson,clarkjo01,2026,6,759.0,6.0,2025-11-02,,,CHI,"W, 128-116",,,6.0,11.0,0.545,3.0,6.0,0.5,3.0,5.0,0.6,0.682,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,10.3,-5.0
Jordan Clarkson,clarkjo01,2026,7,760.0,7.0,2025-11-03,,,WAS,"W, 119-102",,,5.0,8.0,0.625,2.0,5.0,0.4,3.0,3.0,1.0,0.75,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,15.0,12.1,17.0
Jordan Clarkson,clarkjo01,2026,8,761.0,8.0,2025-11-05,,,MIN,"W, 137-114",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,3.2,2.0
Jordan Clarkson,clarkjo01,2026,9,762.0,9.0,2025-11-09,,,BRK,"W, 134-98",,,5.0,8.0,0.625,1.0,3.0,0.333,4.0,5.0,0.8,0.688,0.0,0.0,,2.0,0.0,2.0,3.0,2.0,0.0,1.0,6.0,11.0,9.5,-3.0
Jordan Clarkson,clarkjo01,2026,10,763.0,10.0,2025-11-11,,,MEM,"W, 133-120",,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,13.0,10.2,8.0
Jordan Clarkson,clarkjo01,2026,11,764.0,11.0,2025-11-12,,,ORL,"L, 107-124",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.3,4.0
Jordan Clarkson,clarkjo01,2026,12,765.0,12.0,2025-11-14,,,MIA,"W, 140-132",,,6.0,13.0,0.462,3.0,6.0,0.5,3.0,7.0,0.429,0.577,9.0,11.0,0.818,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,24.0,20.5,4.0
Jordan Clarkson,clarkjo01,2026,13,766.0,13.0,2025-11-17,,,MIA,"L, 113-115",,,7.0,13.0,0.538,0.0,3.0,0.0,7.0,10.0,0.7,0.538,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,14.0,9.1,-17.0
Jordan Clarkson,clarkjo01,2026,14,767.0,14.0,2025-11-19,,,DAL,"W, 113-111",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,4.0,5.0,0.8,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,6.9,2.0
Jordan Clarkson,clarkjo01,2026,15,768.0,15.0,2025-11-22,,,ORL,"L, 121-133",,,6.0,10.0,0.6,3.0,5.0,0.6,3.0,5.0,0.6,0.75,0.0,0.0,,1.0,1.0,2.0,5.0,0.0,1.0,3.0,3.0,15.0,11.4,-11.0
Jordan Clarkson,clarkjo01,2026,16,769.0,16.0,2025-11-24,,,BRK,"W, 113-100",,,6.0,12.0,0.5,0.0,6.0,0.0,6.0,6.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,12.0,0.7,10.0
Jordan Clarkson,clarkjo01,2026,17,770.0,17.0,2025-11-26,,,CHO,"W, 129-101",,,4.0,7.0,0.571,0.0,1.0,0.0,4.0,6.0,0.667,0.571,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,8.0,4.7,2.0
Jordan Clarkson,clarkjo01,2026,18,771.0,18.0,2025-11-28,,,MIL,"W, 118-109",,,2.0,13.0,0.154,0.0,5.0,0.0,2.0,8.0,0.25,0.154,2.0,2.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,6.0,0.8,9.0
Jordan Clarkson,clarkjo01,2026,19,772.0,19.0,2025-11-30,,,TOR,"W, 116-94",,,5.0,13.0,0.385,3.0,10.0,0.3,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,13.0,5.9,-3.0
Jordan Clarkson,clarkjo01,2026,20,773.0,20.0,2025-12-02,,,BOS,"L, 117-123",,,1.0,5.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.2,-10.0
Jordan Clarkson,clarkjo01,2026,21,774.0,21.0,2025-12-03,,,CHO,"W, 119-104",,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,6.0,2.8,10.0
Jordan Clarkson,clarkjo01,2026,22,775.0,22.0,2025-12-05,,,UTA,"W, 146-112",,,5.0,13.0,0.385,2.0,5.0,0.4,3.0,8.0,0.375,0.462,4.0,6.0,0.667,2.0,2.0,4.0,5.0,2.0,0.0,2.0,3.0,16.0,12.4,16.0
Jordan Clarkson,clarkjo01,2026,23,776.0,23.0,2025-12-07,,,ORL,"W, 106-100",,,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-5.3,9.0
Jordan Clarkson,clarkjo01,2026,24,777.0,24.0,2025-12-09,,,TOR,"W, 117-101",,,5.0,10.0,0.5,0.0,1.0,0.0,5.0,9.0,0.556,0.5,2.0,4.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,6.5,10.0
Jordan Clarkson,clarkjo01,2026,25,778.0,25.0,2025-12-13,,,ORL,"W, 132-120",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.2,6.0
Jordan Clarkson,clarkjo01,2026,26,779.0,26.0,2025-12-18,,,IND,"W, 114-113",,,6.0,12.0,0.5,5.0,9.0,0.556,1.0,3.0,0.333,0.708,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,18.0,12.8,7.0
Jordan Clarkson,clarkjo01,2026,27,780.0,27.0,2025-12-19,,,PHI,"L, 107-116",,,4.0,6.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,9.0,5.0,0.0
