player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Nique Clifford,cliffni01,2026,1,1.0,1.0,2025-10-22,,,PHO,"L, 116-120",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,3.0,5.0,8.0,2.0,2.0,1.0,1.0,4.0,2.0,5.4,3.0
Nique Clifford,cliffni01,2026,2,2.0,6.0,2025-11-01,,,MIL,"W, 135-133",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,8.0
Nique Clifford,cliffni01,2026,3,3.0,7.0,2025-11-03,,,DEN,"L, 124-130",,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,8.0,4.8,3.0
Nique Clifford,cliffni01,2026,4,4.0,8.0,2025-11-05,,,GSW,"W, 121-116",*,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,1.0,2.0,0.5,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,12.0,9.8,1.0
Nique Clifford,cliffni01,2026,5,5.0,9.0,2025-11-07,,,OKC,"L, 101-132",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,-0.9,-8.0
Nique Clifford,cliffni01,2026,6,6.0,10.0,2025-11-09,,,MIN,"L, 117-144",,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,1.0,2.0,0.5,1.0,4.0,5.0,5.0,1.0,0.0,3.0,0.0,10.0,9.7,-12.0
Nique Clifford,cliffni01,2026,7,7.0,11.0,2025-11-11,,,DEN,"L, 108-122",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,3.1,8.0
Nique Clifford,cliffni01,2026,8,8.0,12.0,2025-11-12,,,ATL,"L, 100-133",,,3.0,11.0,0.273,1.0,5.0,0.2,2.0,6.0,0.333,0.318,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,4.0,9.0,4.3,-5.0
Nique Clifford,cliffni01,2026,9,9.0,13.0,2025-11-14,,,MIN,"L, 110-124",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.8,6.0
Nique Clifford,cliffni01,2026,10,10.0,14.0,2025-11-16,,,SAS,"L, 110-123",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.2,-6.0
Nique Clifford,cliffni01,2026,11,11.0,15.0,2025-11-19,,,OKC,"L, 99-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,-4.0
Nique Clifford,cliffni01,2026,12,12.0,16.0,2025-11-20,,,MEM,"L, 96-137",,,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,8.0,9.2,-14.0
Nique Clifford,cliffni01,2026,13,13.0,17.0,2025-11-22,,,DEN,"W, 128-123",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.5,4.0
Nique Clifford,cliffni01,2026,14,14.0,18.0,2025-11-24,,,MIN,"W, 117-112 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,0.75,3.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,5.5,-4.0
Nique Clifford,cliffni01,2026,15,15.0,19.0,2025-11-26,,,PHO,"L, 100-112",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.4,-5.0
Nique Clifford,cliffni01,2026,16,16.0,20.0,2025-11-28,,,UTA,"L, 119-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,-12.0
Nique Clifford,cliffni01,2026,17,17.0,21.0,2025-11-30,,,MEM,"L, 107-115",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.1,19.0
Nique Clifford,cliffni01,2026,18,18.0,22.0,2025-12-03,,,HOU,"L, 95-121",,,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,-0.6,-16.0
Nique Clifford,cliffni01,2026,19,19.0,23.0,2025-12-06,,,MIA,"W, 127-111",,,7.0,8.0,0.875,1.0,1.0,1.0,6.0,7.0,0.857,0.938,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,2.0,3.0,15.0,12.2,-8.0
Nique Clifford,cliffni01,2026,20,20.0,24.0,2025-12-08,,,IND,"L, 105-116",,,3.0,6.0,0.5,1.0,1.0,1.0,2.0,5.0,0.4,0.583,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,7.0,2.9,-2.0
