player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Pat Connaughton,connapa01,2026,1,596.0,3.0,2025-10-26,,,WAS,"W, 139-113",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.7,7.0
Pat Connaughton,connapa01,2026,2,597.0,5.0,2025-10-30,,,ORL,"L, 107-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Pat Connaughton,connapa01,2026,3,598.0,7.0,2025-11-02,,,UTA,"W, 126-103",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,2.5,2.0
Pat Connaughton,connapa01,2026,4,599.0,8.0,2025-11-04,,,NOP,"L, 112-116",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,-4.0
Pat Connaughton,connapa01,2026,5,600.0,9.0,2025-11-07,,,MIA,"L, 108-126",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,6.0,4.9,-20.0
Pat Connaughton,connapa01,2026,6,601.0,10.0,2025-11-10,,,LAL,"L, 111-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5,5.0
Pat Connaughton,connapa01,2026,7,602.0,11.0,2025-11-12,,,MIL,"W, 111-100",,,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,9.6,1.0
Pat Connaughton,connapa01,2026,8,603.0,12.0,2025-11-14,,,MIL,"L, 134-147 (OT)",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6,-2.0
Pat Connaughton,connapa01,2026,9,604.0,13.0,2025-11-15,,,OKC,"L, 96-109",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,3.9,5.0
Pat Connaughton,connapa01,2026,10,605.0,14.0,2025-11-17,,,TOR,"L, 108-110",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.9,-4.0
Pat Connaughton,connapa01,2026,11,606.0,15.0,2025-11-19,,,IND,"L, 118-127",,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,13.0,12.0,7.0
Pat Connaughton,connapa01,2026,12,607.0,16.0,2025-11-22,,,LAC,"L, 116-131",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
Pat Connaughton,connapa01,2026,13,608.0,28.0,2025-12-20,,,DET,"L, 86-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pat Connaughton,connapa01,2026,14,609.0,29.0,2025-12-22,,,CLE,"L, 132-139",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.7,12.0
Pat Connaughton,connapa01,2026,15,610.0,30.0,2025-12-23,,,WAS,"W, 126-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Pat Connaughton,connapa01,2026,16,611.0,31.0,2025-12-26,,,ORL,"W, 120-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3,-1.0
Pat Connaughton,connapa01,2026,17,612.0,36.0,2026-01-05,,,OKC,"W, 124-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Pat Connaughton,connapa01,2026,18,613.0,41.0,2026-01-15,,,LAL,"W, 135-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
Pat Connaughton,connapa01,2026,19,614.0,42.0,2026-01-17,,,GSW,"L, 116-136",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.9,-3.0
Pat Connaughton,connapa01,2026,20,615.0,43.0,2026-01-18,,,DEN,"W, 110-87",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4.4,0.0
Pat Connaughton,connapa01,2026,21,616.0,45.0,2026-01-22,,,ORL,"W, 124-97",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Connaughton,connapa01,2026,22,617.0,47.0,2026-01-26,,,PHI,"W, 130-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7,-6.0
Pat Connaughton,connapa01,2026,23,618.0,57.0,2026-02-20,,,CLE,"L, 113-118",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,5.0,3.9,-5.0
Pat Connaughton,connapa01,2026,24,619.0,58.0,2026-02-22,,,WAS,"W, 129-112",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-17.0
Pat Connaughton,connapa01,2026,25,620.0,59.0,2026-02-24,,,CHI,"W, 131-99",,,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,0.8,-9.0
Pat Connaughton,connapa01,2026,26,621.0,60.0,2026-02-26,,,IND,"W, 133-109",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.4,-3.0
Pat Connaughton,connapa01,2026,27,622.0,61.0,2026-02-28,,,POR,"W, 109-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.0
Pat Connaughton,connapa01,2026,28,623.0,62.0,2026-03-03,,,DAL,"W, 117-90",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,5.9,-1.0
Pat Connaughton,connapa01,2026,29,624.0,63.0,2026-03-04,,,BOS,"W, 118-89",,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,0.0,0.0,,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,7.0
Pat Connaughton,connapa01,2026,30,625.0,65.0,2026-03-08,,,PHO,"L, 99-111",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
Pat Connaughton,connapa01,2026,31,626.0,66.0,2026-03-10,,,POR,"W, 103-101",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.6,1.0
