player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bilal Coulibaly,coulibi01,2026,1,123.0,5.0,2025-10-30,,,OKC,"L, 108-127",*,,6.0,12.0,0.5,2.0,7.0,0.286,4.0,5.0,0.8,0.583,2.0,2.0,1.0,1.0,7.0,8.0,4.0,1.0,3.0,4.0,0.0,16.0,14.7,-12.0
Bilal Coulibaly,coulibi01,2026,2,124.0,6.0,2025-11-01,,,ORL,"L, 94-125",*,,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,0.3,4.0,6.0,0.667,1.0,1.0,2.0,4.0,1.0,1.0,0.0,3.0,10.0,7.7,-18.0
Bilal Coulibaly,coulibi01,2026,3,125.0,7.0,2025-11-03,,,NYK,"L, 102-119",*,,5.0,11.0,0.455,3.0,5.0,0.6,2.0,6.0,0.333,0.591,2.0,3.0,0.667,1.0,6.0,7.0,2.0,2.0,0.0,4.0,5.0,15.0,8.8,-13.0
Bilal Coulibaly,coulibi01,2026,4,126.0,8.0,2025-11-05,,,BOS,"L, 107-136",*,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,-2.6,-8.0
Bilal Coulibaly,coulibi01,2026,5,127.0,13.0,2025-11-16,,,BRK,"L, 106-129",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,2.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,6.0,9.3,-1.0
Bilal Coulibaly,coulibi01,2026,6,128.0,14.0,2025-11-19,,,MIN,"L, 109-120",*,,5.0,6.0,0.833,2.0,3.0,0.667,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,3.0,13.0,14.0,-2.0
Bilal Coulibaly,coulibi01,2026,7,129.0,15.0,2025-11-21,,,TOR,"L, 110-140",*,,1.0,6.0,0.167,0.0,5.0,0.0,1.0,1.0,1.0,0.167,7.0,8.0,0.875,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,9.0,7.3,-19.0
Bilal Coulibaly,coulibi01,2026,8,130.0,16.0,2025-11-22,,,CHI,"L, 120-121",*,,2.0,6.0,0.333,1.0,1.0,1.0,1.0,5.0,0.2,0.417,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,4.0,7.0,4.1,1.0
Bilal Coulibaly,coulibi01,2026,9,131.0,17.0,2025-11-25,,,ATL,"W, 132-113",*,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,5.0,6.0,0.833,0.0,3.0,3.0,4.0,2.0,1.0,1.0,5.0,9.0,8.6,29.0
Bilal Coulibaly,coulibi01,2026,10,132.0,18.0,2025-11-28,,,IND,"L, 86-119",*,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,11.0,4.6,-17.0
