player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tristan Da Silva,dasiltr01,2026,1,75.0,1.0,2025-10-22,,,MIA,"W, 125-121",,,5.0,8.0,0.625,3.0,5.0,0.6,2.0,3.0,0.667,0.813,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,11.3,11.0
Tristan Da Silva,dasiltr01,2026,2,76.0,2.0,2025-10-24,,,ATL,"L, 107-111",,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,3.0,4.0,0.75,3.0,3.0,6.0,3.0,3.0,0.0,1.0,1.0,15.0,16.3,8.0
Tristan Da Silva,dasiltr01,2026,3,77.0,3.0,2025-10-25,,,CHI,"L, 98-110",,,3.0,11.0,0.273,0.0,6.0,0.0,3.0,5.0,0.6,0.273,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,8.0,3.8,5.0
Tristan Da Silva,dasiltr01,2026,4,78.0,4.0,2025-10-27,,,PHI,"L, 124-136",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,9.0
Tristan Da Silva,dasiltr01,2026,5,79.0,5.0,2025-10-29,,,DET,"L, 116-135",,,6.0,9.0,0.667,3.0,6.0,0.5,3.0,3.0,1.0,0.833,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,15.0,12.6,-3.0
Tristan Da Silva,dasiltr01,2026,6,80.0,6.0,2025-10-30,,,CHO,"W, 123-107",,,5.0,11.0,0.455,3.0,7.0,0.429,2.0,4.0,0.5,0.591,6.0,6.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,19.0,15.5,5.0
Tristan Da Silva,dasiltr01,2026,7,81.0,7.0,2025-11-01,,,WAS,"W, 125-94",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.2,9.0
Tristan Da Silva,dasiltr01,2026,8,82.0,8.0,2025-11-04,,,ATL,"L, 112-127",,,8.0,11.0,0.727,4.0,5.0,0.8,4.0,6.0,0.667,0.909,0.0,0.0,,2.0,2.0,4.0,2.0,2.0,0.0,3.0,2.0,20.0,17.1,0.0
Tristan Da Silva,dasiltr01,2026,9,83.0,9.0,2025-11-07,,,BOS,"W, 123-110",,,4.0,8.0,0.5,3.0,5.0,0.6,1.0,3.0,0.333,0.688,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,8.0
Tristan Da Silva,dasiltr01,2026,10,84.0,10.0,2025-11-09,,,BOS,"L, 107-111",,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,9.2,-2.0
Tristan Da Silva,dasiltr01,2026,11,85.0,11.0,2025-11-10,,,POR,"W, 115-112",,,1.0,6.0,0.167,0.0,5.0,0.0,1.0,1.0,1.0,0.167,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.9,7.0
Tristan Da Silva,dasiltr01,2026,12,86.0,12.0,2025-11-12,,,NYK,"W, 124-107",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,8.0,6.8,22.0
Tristan Da Silva,dasiltr01,2026,13,87.0,13.0,2025-11-14,,,BRK,"W, 105-98",*,,8.0,14.0,0.571,5.0,9.0,0.556,3.0,5.0,0.6,0.75,1.0,2.0,0.5,2.0,7.0,9.0,1.0,0.0,1.0,3.0,2.0,22.0,16.1,15.0
