player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Darius Garland,garlada01,2026,1,383.0,8.0,2025-11-05,,,PHI,"W, 132-121",*,,3.0,11.0,0.273,2.0,7.0,0.286,1.0,4.0,0.25,0.364,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,0.0,3.0,3.0,8.0,1.1,5.0
Darius Garland,garlada01,2026,2,384.0,9.0,2025-11-07,,,WAS,"W, 148-115",*,,7.0,16.0,0.438,4.0,9.0,0.444,3.0,7.0,0.429,0.563,2.0,2.0,1.0,1.0,1.0,2.0,9.0,1.0,0.0,2.0,0.0,20.0,17.9,24.0
Darius Garland,garlada01,2026,3,385.0,11.0,2025-11-10,,,MIA,"L, 138-140 (OT)",*,,2.0,9.0,0.222,1.0,3.0,0.333,1.0,6.0,0.167,0.278,6.0,6.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,3.0,11.0,9.6,-5.0
Darius Garland,garlada01,2026,4,386.0,17.0,2025-11-21,,,IND,"W, 120-109",*,,5.0,12.0,0.417,3.0,4.0,0.75,2.0,8.0,0.25,0.542,7.0,7.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,4.0,3.0,20.0,14.3,18.0
Darius Garland,garlada01,2026,5,387.0,18.0,2025-11-23,,,LAC,"W, 120-105",*,,3.0,10.0,0.3,0.0,4.0,0.0,3.0,6.0,0.5,0.3,2.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,0.0,8.0,4.1,0.0
Darius Garland,garlada01,2026,6,388.0,20.0,2025-11-28,,,ATL,"L, 123-130",*,,6.0,14.0,0.429,1.0,3.0,0.333,5.0,11.0,0.455,0.464,2.0,2.0,1.0,1.0,4.0,5.0,10.0,1.0,0.0,5.0,2.0,15.0,11.7,-18.0
Darius Garland,garlada01,2026,7,389.0,21.0,2025-11-30,,,BOS,"L, 115-117",*,,7.0,16.0,0.438,4.0,9.0,0.444,3.0,7.0,0.429,0.563,3.0,5.0,0.6,1.0,2.0,3.0,8.0,0.0,0.0,4.0,1.0,21.0,14.3,-27.0
Darius Garland,garlada01,2026,8,390.0,23.0,2025-12-03,,,POR,"L, 110-122",*,,2.0,13.0,0.154,1.0,8.0,0.125,1.0,5.0,0.2,0.192,1.0,2.0,0.5,0.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,6.0,-0.2,-8.0
Darius Garland,garlada01,2026,9,391.0,25.0,2025-12-06,,,GSW,"L, 94-99",*,,6.0,15.0,0.4,1.0,6.0,0.167,5.0,9.0,0.556,0.433,4.0,5.0,0.8,1.0,4.0,5.0,4.0,2.0,0.0,3.0,0.0,17.0,12.2,-14.0
Darius Garland,garlada01,2026,10,392.0,26.0,2025-12-12,,,WAS,"W, 130-126",*,,6.0,17.0,0.353,0.0,11.0,0.0,6.0,6.0,1.0,0.353,6.0,7.0,0.857,0.0,3.0,3.0,6.0,2.0,0.0,2.0,2.0,18.0,12.4,-5.0
Darius Garland,garlada01,2026,11,393.0,27.0,2025-12-14,,,CHO,"L, 111-119 (OT)",*,,8.0,19.0,0.421,3.0,7.0,0.429,5.0,12.0,0.417,0.5,7.0,8.0,0.875,0.0,2.0,2.0,9.0,1.0,1.0,4.0,2.0,26.0,19.3,-8.0
Darius Garland,garlada01,2026,12,394.0,28.0,2025-12-17,,,CHI,"L, 111-127",*,,6.0,16.0,0.375,3.0,7.0,0.429,3.0,9.0,0.333,0.469,0.0,0.0,,1.0,4.0,5.0,6.0,0.0,0.0,2.0,2.0,15.0,9.5,-18.0
Darius Garland,garlada01,2026,13,395.0,29.0,2025-12-19,,,CHI,"L, 125-136",*,,13.0,27.0,0.481,6.0,12.0,0.5,7.0,15.0,0.467,0.593,3.0,3.0,1.0,1.0,1.0,2.0,8.0,1.0,0.0,4.0,1.0,35.0,24.5,3.0
Darius Garland,garlada01,2026,14,396.0,30.0,2025-12-22,,,CHO,"W, 139-132",*,,9.0,15.0,0.6,5.0,6.0,0.833,4.0,9.0,0.444,0.767,4.0,4.0,1.0,2.0,2.0,4.0,10.0,2.0,0.0,3.0,4.0,27.0,26.5,13.0
Darius Garland,garlada01,2026,15,397.0,31.0,2025-12-23,,,NOP,"W, 141-118",*,,4.0,9.0,0.444,2.0,6.0,0.333,2.0,3.0,0.667,0.556,0.0,0.0,,0.0,1.0,1.0,8.0,0.0,0.0,3.0,0.0,10.0,8.2,14.0
Darius Garland,garlada01,2026,16,398.0,32.0,2025-12-25,,,NYK,"L, 124-126",*,,7.0,14.0,0.5,3.0,4.0,0.75,4.0,10.0,0.4,0.607,3.0,4.0,0.75,0.0,1.0,1.0,10.0,0.0,0.0,4.0,2.0,20.0,15.1,0.0
Darius Garland,garlada01,2026,17,399.0,33.0,2025-12-27,,,HOU,"L, 100-117",*,,5.0,9.0,0.556,2.0,4.0,0.5,3.0,5.0,0.6,0.667,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,12.0,5.0,-32.0
Darius Garland,garlada01,2026,18,400.0,34.0,2025-12-29,,,SAS,"W, 113-101",*,,5.0,13.0,0.385,1.0,5.0,0.2,4.0,8.0,0.5,0.423,4.0,4.0,1.0,0.0,5.0,5.0,11.0,1.0,0.0,3.0,2.0,15.0,14.3,3.0
Darius Garland,garlada01,2026,19,401.0,35.0,2025-12-31,,,PHO,"W, 129-113",*,,7.0,13.0,0.538,2.0,7.0,0.286,5.0,6.0,0.833,0.615,3.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,1.0,19.0,14.8,15.0
