player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tim Hardaway Jr.,hardati01,2026,1,814.0,1.0,2025-10-23,,,GSW,"L, 131-137 (OT)",,,4.0,8.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,0.625,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,10.0,7.6,5.0
Tim Hardaway Jr.,hardati01,2026,2,815.0,2.0,2025-10-25,,,PHO,"W, 133-111",,,1.0,6.0,0.167,1.0,5.0,0.2,0.0,1.0,0.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,-1.4,5.0
Tim Hardaway Jr.,hardati01,2026,3,816.0,3.0,2025-10-27,,,MIN,"W, 127-114",,,7.0,11.0,0.636,4.0,6.0,0.667,3.0,5.0,0.6,0.818,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,20.0,16.7,25.0
Tim Hardaway Jr.,hardati01,2026,4,817.0,4.0,2025-10-29,,,NOP,"W, 122-88",,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,8.2,9.0
Tim Hardaway Jr.,hardati01,2026,5,818.0,5.0,2025-10-31,,,POR,"L, 107-109",,,3.0,10.0,0.3,2.0,6.0,0.333,1.0,4.0,0.25,0.4,3.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,8.2,2.0
Tim Hardaway Jr.,hardati01,2026,6,819.0,6.0,2025-11-03,,,SAC,"W, 130-124",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,5.6,-3.0
Tim Hardaway Jr.,hardati01,2026,7,820.0,7.0,2025-11-05,,,MIA,"W, 122-112",,,7.0,12.0,0.583,4.0,9.0,0.444,3.0,3.0,1.0,0.75,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,18.0,11.9,-1.0
Tim Hardaway Jr.,hardati01,2026,8,821.0,8.0,2025-11-07,,,GSW,"W, 129-104",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,-1.0
Tim Hardaway Jr.,hardati01,2026,9,822.0,9.0,2025-11-08,,,IND,"W, 117-100",,,6.0,13.0,0.462,5.0,9.0,0.556,1.0,4.0,0.25,0.654,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,17.0,12.2,24.0
Tim Hardaway Jr.,hardati01,2026,10,823.0,10.0,2025-11-11,,,SAC,"W, 122-108",,,2.0,8.0,0.25,2.0,6.0,0.333,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,2.1,-3.0
Tim Hardaway Jr.,hardati01,2026,11,824.0,11.0,2025-11-12,,,LAC,"W, 130-116",,,3.0,7.0,0.429,3.0,5.0,0.6,0.0,2.0,0.0,0.643,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,12.0,11.3,24.0
Tim Hardaway Jr.,hardati01,2026,12,825.0,12.0,2025-11-15,,,MIN,"W, 123-112",*,,6.0,8.0,0.75,5.0,6.0,0.833,1.0,2.0,0.5,1.063,6.0,6.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,23.0,22.1,18.0
