player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
De'Andre Hunter,huntede01,2026,1,328.0,3.0,2025-10-26,,,MIL,"W, 118-113",*,,6.0,13.0,0.462,1.0,4.0,0.25,5.0,9.0,0.556,0.5,3.0,5.0,0.6,1.0,3.0,4.0,2.0,0.0,0.0,1.0,4.0,16.0,8.9,3.0
De'Andre Hunter,huntede01,2026,2,329.0,4.0,2025-10-27,,,DET,"W, 116-95",*,,4.0,11.0,0.364,2.0,6.0,0.333,2.0,5.0,0.4,0.455,3.0,3.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,2.0,3.0,13.0,10.8,5.0
De'Andre Hunter,huntede01,2026,3,330.0,5.0,2025-10-29,,,BOS,"L, 105-125",*,,5.0,17.0,0.294,3.0,12.0,0.25,2.0,5.0,0.4,0.382,5.0,5.0,1.0,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,18.0,10.3,-25.0
De'Andre Hunter,huntede01,2026,4,331.0,6.0,2025-10-31,,,TOR,"L, 101-112",*,,8.0,18.0,0.444,4.0,12.0,0.333,4.0,6.0,0.667,0.556,6.0,8.0,0.75,1.0,5.0,6.0,2.0,0.0,1.0,3.0,3.0,26.0,15.9,-3.0
De'Andre Hunter,huntede01,2026,5,332.0,7.0,2025-11-02,,,ATL,"W, 117-109",*,,5.0,14.0,0.357,2.0,9.0,0.222,3.0,5.0,0.6,0.429,7.0,7.0,1.0,1.0,6.0,7.0,3.0,3.0,0.0,2.0,2.0,19.0,16.0,15.0
De'Andre Hunter,huntede01,2026,6,333.0,9.0,2025-11-07,,,WAS,"W, 148-115",*,,2.0,9.0,0.222,0.0,3.0,0.0,2.0,6.0,0.333,0.222,4.0,4.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,8.0,4.4,16.0
De'Andre Hunter,huntede01,2026,7,334.0,10.0,2025-11-08,,,CHI,"W, 128-122",*,,10.0,16.0,0.625,4.0,8.0,0.5,6.0,8.0,0.75,0.75,5.0,7.0,0.714,1.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,29.0,20.9,23.0
De'Andre Hunter,huntede01,2026,8,335.0,11.0,2025-11-10,,,MIA,"L, 138-140 (OT)",*,,9.0,19.0,0.474,2.0,8.0,0.25,7.0,11.0,0.636,0.526,3.0,3.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,5.0,23.0,15.3,-7.0
De'Andre Hunter,huntede01,2026,9,336.0,12.0,2025-11-12,,,MIA,"W, 130-116",*,,8.0,13.0,0.615,1.0,5.0,0.2,7.0,8.0,0.875,0.654,4.0,5.0,0.8,1.0,5.0,6.0,2.0,2.0,0.0,3.0,1.0,21.0,16.9,4.0
De'Andre Hunter,huntede01,2026,10,337.0,13.0,2025-11-13,,,TOR,"L, 113-126",*,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,11.0,0.545,0.469,1.0,2.0,0.5,0.0,2.0,2.0,6.0,0.0,1.0,0.0,2.0,16.0,11.9,-7.0
