player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kasparas Jakučionis,jakucka01,2026,1,1.0,21.0,2025-12-01,,,LAC,"W, 140-123",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-2.0
Kasparas Jakučionis,jakucka01,2026,2,2.0,27.0,2025-12-18,,,BRK,"W, 106-95",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.4,-4.0
Kasparas Jakučionis,jakucka01,2026,3,3.0,28.0,2025-12-19,,,BOS,"L, 116-129",*,,5.0,13.0,0.385,5.0,8.0,0.625,0.0,5.0,0.0,0.577,2.0,2.0,1.0,5.0,1.0,6.0,4.0,0.0,0.0,1.0,3.0,17.0,14.3,3.0
Kasparas Jakučionis,jakucka01,2026,4,4.0,29.0,2025-12-21,,,NYK,"L, 125-132",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.3,-6.0
Kasparas Jakučionis,jakucka01,2026,5,5.0,30.0,2025-12-23,,,TOR,"L, 91-112",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,7.0,2.3,-7.0
Kasparas Jakučionis,jakucka01,2026,6,6.0,31.0,2025-12-26,,,ATL,"W, 126-111",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,8.0,8.3,1.0
Kasparas Jakučionis,jakucka01,2026,7,7.0,32.0,2025-12-27,,,IND,"W, 142-116",,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,0.0,0.0,,0.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,4.0,2.3,11.0
Kasparas Jakučionis,jakucka01,2026,8,8.0,33.0,2025-12-29,,,DEN,"W, 147-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
Kasparas Jakučionis,jakucka01,2026,9,9.0,34.0,2026-01-01,,,DET,"W, 118-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,11.0
Kasparas Jakučionis,jakucka01,2026,10,10.0,35.0,2026-01-03,,,MIN,"L, 115-125",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,3.0,3.2,5.0
Kasparas Jakučionis,jakucka01,2026,11,11.0,36.0,2026-01-04,,,NOP,"W, 125-106",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,3.2,-10.0
