player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Miles Kelly,kellymi01,2026,1,1.0,3.0,2025-10-26,,,TOR,"W, 139-129",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-6.0
Miles Kelly,kellymi01,2026,2,2.0,15.0,2025-11-17,,,MIN,"L, 96-120",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,3.0
Miles Kelly,kellymi01,2026,3,3.0,39.0,2026-01-10,,,CHI,"L, 107-125",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,3.5,-2.0
Miles Kelly,kellymi01,2026,4,4.0,40.0,2026-01-12,,,BRK,"W, 113-105",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,5.0
Miles Kelly,kellymi01,2026,5,5.0,41.0,2026-01-14,,,DEN,"L, 109-118",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-6.0
Miles Kelly,kellymi01,2026,6,6.0,42.0,2026-01-15,,,UTA,"W, 144-122",,,3.0,8.0,0.375,3.0,8.0,0.375,0.0,0.0,,0.563,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,9.0,6.5,13.0
Miles Kelly,kellymi01,2026,7,7.0,43.0,2026-01-17,,,UTA,"W, 138-120",,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,5.6,-9.0
Miles Kelly,kellymi01,2026,8,8.0,44.0,2026-01-19,,,NYK,"W, 114-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
Miles Kelly,kellymi01,2026,9,9.0,45.0,2026-01-22,,,GSW,"W, 123-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Miles Kelly,kellymi01,2026,10,10.0,47.0,2026-01-28,,,MIN,"L, 105-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3,-4.0
Miles Kelly,kellymi01,2026,11,11.0,50.0,2026-02-03,,,BOS,"L, 100-110",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.6,-3.0
Miles Kelly,kellymi01,2026,12,12.0,51.0,2026-02-05,,,SAS,"L, 123-135",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,4.6,6.0
Miles Kelly,kellymi01,2026,13,13.0,57.0,2026-02-24,,,BRK,"W, 123-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles Kelly,kellymi01,2026,14,14.0,59.0,2026-02-27,,,MEM,"L, 105-124",,,3.0,11.0,0.273,2.0,7.0,0.286,1.0,4.0,0.25,0.364,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,9.0,6.5,-5.0
