player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Chaz Lanier,laniech01,2026,1,1.0,2.0,2025-10-24,,,HOU,"W, 115-111",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-6.0
Chaz Lanier,laniech01,2026,2,2.0,3.0,2025-10-26,,,BOS,"W, 119-113",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
Chaz Lanier,laniech01,2026,3,3.0,4.0,2025-10-27,,,CLE,"L, 95-116",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,3.0
Chaz Lanier,laniech01,2026,4,4.0,5.0,2025-10-29,,,ORL,"W, 135-116",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,-3.0
Chaz Lanier,laniech01,2026,5,5.0,6.0,2025-11-01,,,DAL,"W, 122-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Chaz Lanier,laniech01,2026,6,6.0,9.0,2025-11-07,,,BRK,"W, 125-107",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-3.0
Chaz Lanier,laniech01,2026,7,7.0,11.0,2025-11-10,,,WAS,"W, 137-135 (OT)",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,8.4,-2.0
Chaz Lanier,laniech01,2026,8,8.0,12.0,2025-11-12,,,CHI,"W, 124-113",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.8,-4.0
Chaz Lanier,laniech01,2026,9,9.0,13.0,2025-11-14,,,PHI,"W, 114-105",,,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.5,0.0,0.0,,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,6.0,7.0,19.0
Chaz Lanier,laniech01,2026,10,10.0,14.0,2025-11-17,,,IND,"W, 127-112",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0
Chaz Lanier,laniech01,2026,11,11.0,15.0,2025-11-18,,,ATL,"W, 120-112",,,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,,0.643,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.9,-2.0
Chaz Lanier,laniech01,2026,12,12.0,16.0,2025-11-22,,,MIL,"W, 129-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Chaz Lanier,laniech01,2026,13,13.0,24.0,2025-12-06,,,MIL,"W, 124-112",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-11.0
