player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevin Love,loveke01,2026,1,953.0,6.0,2025-11-02,,,CHO,"L, 103-126",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,4.0,0.75,2.0,3.0,5.0,5.0,0.0,0.0,2.0,1.0,3.0,4.6,-5.0
Kevin Love,loveke01,2026,2,954.0,7.0,2025-11-03,,,BOS,"W, 105-103",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,1.0,6.0,7.0,3.0,0.0,0.0,2.0,1.0,5.0,5.9,1.0
Kevin Love,loveke01,2026,3,955.0,8.0,2025-11-05,,,DET,"L, 103-114",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,4.0,0.75,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,3.1,-10.0
Kevin Love,loveke01,2026,4,956.0,9.0,2025-11-07,,,MIN,"L, 97-137",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
Kevin Love,loveke01,2026,5,957.0,10.0,2025-11-10,,,MIN,"L, 113-120",,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,10.0,7.5,1.0
Kevin Love,loveke01,2026,6,958.0,12.0,2025-11-13,,,ATL,"L, 122-132",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,3.0,2.2,-2.0
Kevin Love,loveke01,2026,7,959.0,13.0,2025-11-16,,,CHI,"W, 150-147 (2OT)",,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,1.0,0.0,0.0,10.0,10.5,0.0
Kevin Love,loveke01,2026,8,960.0,14.0,2025-11-18,,,LAL,"L, 126-140",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.1,-8.0
Kevin Love,loveke01,2026,9,961.0,15.0,2025-11-21,,,OKC,"L, 112-144",,,4.0,6.0,0.667,4.0,5.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,12.0,7.8,-9.0
Kevin Love,loveke01,2026,10,962.0,16.0,2025-11-23,,,LAL,"L, 106-108",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,3.0,6.0,9.0,2.0,1.0,0.0,2.0,2.0,4.0,4.8,-7.0
Kevin Love,loveke01,2026,11,963.0,18.0,2025-11-28,,,SAC,"W, 128-119",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,1.0,2.0,0.5,4.0,3.0,7.0,1.0,1.0,1.0,0.0,1.0,9.0,12.0,8.0
