player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Naji Marshall,marshna01,2026,1,300.0,1.0,2025-10-22,,,SAS,"L, 92-125",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.4,-17.0
Naji Marshall,marshna01,2026,2,301.0,2.0,2025-10-24,,,WAS,"L, 107-117",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,3.0,3.0,1.0,1.0,5.0,6.0,4.0,2.0,0.0,1.0,4.0,7.0,8.0,-1.0
Naji Marshall,marshna01,2026,3,302.0,3.0,2025-10-26,,,TOR,"W, 139-129",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,2.0,1.0,12.0,14.7,8.0
Naji Marshall,marshna01,2026,4,303.0,4.0,2025-10-27,,,OKC,"L, 94-101",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,5.0,5.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,9.0,6.7,-15.0
Naji Marshall,marshna01,2026,5,304.0,5.0,2025-10-29,,,IND,"W, 107-105",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0
Naji Marshall,marshna01,2026,6,305.0,6.0,2025-11-01,,,DET,"L, 110-122",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,3.9,-21.0
Naji Marshall,marshna01,2026,7,306.0,7.0,2025-11-03,,,HOU,"L, 102-110",,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,0.0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,9.0,6.1,-2.0
Naji Marshall,marshna01,2026,8,307.0,8.0,2025-11-05,,,NOP,"L, 99-101",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,3.0,4.0,0.75,0.0,5.0,5.0,5.0,1.0,0.0,1.0,3.0,7.0,7.7,-10.0
Naji Marshall,marshna01,2026,9,308.0,9.0,2025-11-07,,,MEM,"L, 104-118",,,6.0,13.0,0.462,1.0,7.0,0.143,5.0,6.0,0.833,0.5,3.0,4.0,0.75,0.0,7.0,7.0,4.0,1.0,0.0,1.0,1.0,16.0,13.4,6.0
Naji Marshall,marshna01,2026,10,309.0,10.0,2025-11-08,,,WAS,"W, 111-105",,,9.0,14.0,0.643,3.0,4.0,0.75,6.0,10.0,0.6,0.75,9.0,11.0,0.818,3.0,5.0,8.0,2.0,3.0,0.0,0.0,2.0,30.0,30.2,6.0
