player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bennedict Mathurin,mathube01,2026,1,210.0,1.0,2025-10-23,,,OKC,"L, 135-141 (2OT)",*,,9.0,19.0,0.474,3.0,8.0,0.375,6.0,11.0,0.545,0.553,15.0,17.0,0.882,3.0,8.0,11.0,1.0,0.0,0.0,4.0,6.0,36.0,24.3,9.0
Bennedict Mathurin,mathube01,2026,2,211.0,2.0,2025-10-25,,,MEM,"L, 103-128",*,,8.0,12.0,0.667,2.0,2.0,1.0,6.0,10.0,0.6,0.75,8.0,9.0,0.889,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,26.0,23.1,-18.0
Bennedict Mathurin,mathube01,2026,3,212.0,14.0,2025-11-17,,,DET,"L, 112-127",*,,7.0,16.0,0.438,3.0,9.0,0.333,4.0,7.0,0.571,0.531,8.0,14.0,0.571,0.0,3.0,3.0,2.0,1.0,0.0,4.0,5.0,25.0,11.5,-16.0
Bennedict Mathurin,mathube01,2026,4,213.0,15.0,2025-11-19,,,CHO,"W, 127-118",*,,7.0,13.0,0.538,2.0,5.0,0.4,5.0,8.0,0.625,0.615,8.0,9.0,0.889,3.0,9.0,12.0,2.0,1.0,0.0,1.0,2.0,24.0,22.7,-2.0
Bennedict Mathurin,mathube01,2026,5,214.0,16.0,2025-11-21,,,CLE,"L, 109-120",*,,7.0,15.0,0.467,2.0,7.0,0.286,5.0,8.0,0.625,0.533,5.0,5.0,1.0,3.0,4.0,7.0,2.0,1.0,1.0,3.0,3.0,21.0,15.5,-8.0
Bennedict Mathurin,mathube01,2026,6,215.0,17.0,2025-11-24,,,DET,"L, 117-122",*,,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,0.269,7.0,8.0,0.875,0.0,4.0,4.0,1.0,0.0,0.0,3.0,5.0,14.0,2.6,-5.0
Bennedict Mathurin,mathube01,2026,7,216.0,18.0,2025-11-26,,,TOR,"L, 95-97",*,,5.0,15.0,0.333,4.0,9.0,0.444,1.0,6.0,0.167,0.467,1.0,2.0,0.5,0.0,3.0,3.0,3.0,1.0,0.0,4.0,3.0,15.0,4.9,-15.0
Bennedict Mathurin,mathube01,2026,8,217.0,19.0,2025-11-28,,,WAS,"W, 119-86",*,,8.0,16.0,0.5,3.0,5.0,0.6,5.0,11.0,0.455,0.594,1.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,20.0,13.0,29.0
Bennedict Mathurin,mathube01,2026,9,218.0,20.0,2025-11-29,,,CHI,"W, 103-101",*,,8.0,19.0,0.421,3.0,10.0,0.3,5.0,9.0,0.556,0.5,0.0,0.0,,0.0,6.0,6.0,3.0,2.0,0.0,5.0,2.0,19.0,9.0,3.0
Bennedict Mathurin,mathube01,2026,10,219.0,21.0,2025-12-01,,,CLE,"L, 119-135",*,,3.0,9.0,0.333,2.0,4.0,0.5,1.0,5.0,0.2,0.444,3.0,5.0,0.6,0.0,4.0,4.0,1.0,0.0,0.0,3.0,3.0,11.0,2.8,-21.0
Bennedict Mathurin,mathube01,2026,11,220.0,22.0,2025-12-03,,,DEN,"L, 120-135",*,,5.0,10.0,0.5,2.0,3.0,0.667,3.0,7.0,0.429,0.6,3.0,3.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,4.0,2.0,15.0,9.5,-25.0
Bennedict Mathurin,mathube01,2026,12,221.0,23.0,2025-12-05,,,CHI,"W, 120-105",*,,9.0,16.0,0.563,6.0,11.0,0.545,3.0,5.0,0.6,0.75,4.0,4.0,1.0,0.0,5.0,5.0,3.0,2.0,1.0,2.0,4.0,28.0,23.1,16.0
Bennedict Mathurin,mathube01,2026,13,222.0,24.0,2025-12-08,,,SAC,"W, 116-105",*,,7.0,14.0,0.5,4.0,9.0,0.444,3.0,5.0,0.6,0.643,7.0,7.0,1.0,0.0,6.0,6.0,2.0,1.0,0.0,1.0,3.0,25.0,20.0,11.0
Bennedict Mathurin,mathube01,2026,14,223.0,25.0,2025-12-12,,,PHI,"L, 105-115",*,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,1.0,1.0,3.0,7.0,4.0,-16.0
Bennedict Mathurin,mathube01,2026,15,224.0,26.0,2025-12-14,,,WAS,"L, 89-108",*,,3.0,9.0,0.333,1.0,5.0,0.2,2.0,4.0,0.5,0.389,8.0,8.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,15.0,9.9,-21.0
Bennedict Mathurin,mathube01,2026,16,225.0,27.0,2025-12-18,,,NYK,"L, 113-114",*,,7.0,18.0,0.389,2.0,9.0,0.222,5.0,9.0,0.556,0.444,0.0,0.0,,1.0,7.0,8.0,2.0,2.0,0.0,2.0,1.0,16.0,10.0,9.0
Bennedict Mathurin,mathube01,2026,17,226.0,28.0,2025-12-20,,,NOP,"L, 109-128",*,,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,0.222,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,4.0,-0.7,-32.0
Bennedict Mathurin,mathube01,2026,18,227.0,29.0,2025-12-22,,,BOS,"L, 95-103",*,,7.0,20.0,0.35,2.0,7.0,0.286,5.0,13.0,0.385,0.4,0.0,0.0,,3.0,6.0,9.0,0.0,0.0,1.0,0.0,3.0,16.0,8.2,-21.0
Bennedict Mathurin,mathube01,2026,19,228.0,30.0,2025-12-23,,,MIL,"L, 94-111",*,,3.0,10.0,0.3,1.0,4.0,0.25,2.0,6.0,0.333,0.35,6.0,6.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,2.0,13.0,7.9,-5.0
Bennedict Mathurin,mathube01,2026,20,229.0,31.0,2025-12-26,,,BOS,"L, 122-140",*,,5.0,13.0,0.385,1.0,5.0,0.2,4.0,8.0,0.5,0.423,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,3.0,13.0,9.1,-13.0
Bennedict Mathurin,mathube01,2026,21,230.0,32.0,2025-12-27,,,MIA,"L, 116-142",*,,9.0,16.0,0.563,3.0,7.0,0.429,6.0,9.0,0.667,0.656,4.0,5.0,0.8,0.0,6.0,6.0,0.0,2.0,0.0,5.0,2.0,25.0,15.0,-17.0
Bennedict Mathurin,mathube01,2026,22,231.0,33.0,2025-12-29,,,HOU,"L, 119-126",*,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,14.0,11.2,-13.0
Bennedict Mathurin,mathube01,2026,23,232.0,34.0,2025-12-31,,,ORL,"L, 110-112",*,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,13.0,13.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,5.0,1.0,23.0,15.1,-7.0
Bennedict Mathurin,mathube01,2026,24,233.0,35.0,2026-01-02,,,SAS,"L, 113-123",*,,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,0.167,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,0.0,1.0,5.0,2.0,-1.2,-12.0
Bennedict Mathurin,mathube01,2026,25,234.0,47.0,2026-01-26,,,ATL,"L, 116-132",,,6.0,10.0,0.6,2.0,3.0,0.667,4.0,7.0,0.571,0.7,2.0,3.0,0.667,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,16.0,11.9,-25.0
Bennedict Mathurin,mathube01,2026,26,235.0,48.0,2026-01-28,,,CHI,"W, 113-110",,,4.0,10.0,0.4,3.0,5.0,0.6,1.0,5.0,0.2,0.55,4.0,4.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,2.0,4.0,15.0,9.5,-7.0
Bennedict Mathurin,mathube01,2026,27,236.0,49.0,2026-01-31,,,ATL,"W, 129-124",,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,8.0,8.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,14.0,11.7,16.0
Bennedict Mathurin,mathube01,2026,28,237.0,50.0,2026-02-02,,,HOU,"L, 114-118",,,8.0,15.0,0.533,0.0,2.0,0.0,8.0,13.0,0.615,0.533,9.0,10.0,0.9,1.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,25.0,21.6,-7.0
Bennedict Mathurin,mathube01,2026,29,238.0,53.0,2026-02-10,,,HOU,"L, 95-102",,,4.0,13.0,0.308,0.0,2.0,0.0,4.0,11.0,0.364,0.308,1.0,1.0,1.0,3.0,4.0,7.0,4.0,3.0,0.0,0.0,4.0,9.0,9.0,4.0
Bennedict Mathurin,mathube01,2026,30,239.0,54.0,2026-02-11,,,HOU,"W, 105-102",,,3.0,10.0,0.3,1.0,3.0,0.333,2.0,7.0,0.286,0.35,9.0,10.0,0.9,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,16.0,15.1,6.0
Bennedict Mathurin,mathube01,2026,31,240.0,55.0,2026-02-19,,,DEN,"W, 115-114",,,12.0,22.0,0.545,2.0,6.0,0.333,10.0,16.0,0.625,0.591,12.0,13.0,0.923,2.0,3.0,5.0,4.0,3.0,0.0,3.0,4.0,38.0,30.5,4.0
Bennedict Mathurin,mathube01,2026,32,241.0,56.0,2026-02-20,,,LAL,"L, 122-125",,,7.0,16.0,0.438,1.0,4.0,0.25,6.0,12.0,0.5,0.469,11.0,14.0,0.786,1.0,6.0,7.0,2.0,0.0,0.0,3.0,6.0,26.0,14.9,-2.0
Bennedict Mathurin,mathube01,2026,33,242.0,57.0,2026-02-22,,,ORL,"L, 109-111",,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,11.0,0.545,0.469,6.0,7.0,0.857,2.0,7.0,9.0,5.0,0.0,0.0,2.0,2.0,21.0,16.4,1.0
Bennedict Mathurin,mathube01,2026,34,243.0,58.0,2026-02-26,,,MIN,"L, 88-94",*,,4.0,14.0,0.286,0.0,4.0,0.0,4.0,10.0,0.4,0.286,6.0,8.0,0.75,1.0,5.0,6.0,2.0,1.0,0.0,6.0,5.0,14.0,1.6,1.0
Bennedict Mathurin,mathube01,2026,35,244.0,59.0,2026-03-01,,,NOP,"W, 137-117",,,4.0,13.0,0.308,0.0,3.0,0.0,4.0,10.0,0.4,0.308,1.0,2.0,0.5,3.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,9.0,3.8,16.0
