player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jared McCain,mccaija01,2026,1,24.0,7.0,2025-11-04,,,CHI,"L, 111-113",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.9,-5.0
Jared McCain,mccaija01,2026,2,25.0,10.0,2025-11-09,,,DET,"L, 108-111",,,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.8,7.0
Jared McCain,mccaija01,2026,3,26.0,11.0,2025-11-11,,,BOS,"W, 102-100",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.8,1.0
Jared McCain,mccaija01,2026,4,27.0,13.0,2025-11-17,,,LAC,"W, 110-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Jared McCain,mccaija01,2026,5,28.0,14.0,2025-11-19,,,TOR,"L, 112-121",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,-0.3,-12.0
Jared McCain,mccaija01,2026,6,29.0,15.0,2025-11-20,,,MIL,"W, 123-114 (OT)",,,3.0,8.0,0.375,2.0,7.0,0.286,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,2.8,6.0
Jared McCain,mccaija01,2026,7,30.0,16.0,2025-11-23,,,MIA,"L, 117-127",,,5.0,11.0,0.455,3.0,4.0,0.75,2.0,7.0,0.286,0.591,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,15.0,9.8,1.0
Jared McCain,mccaija01,2026,8,31.0,17.0,2025-11-25,,,ORL,"L, 103-144",,,6.0,13.0,0.462,2.0,5.0,0.4,4.0,8.0,0.5,0.538,1.0,2.0,0.5,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,15.0,9.9,-31.0
Jared McCain,mccaija01,2026,9,32.0,18.0,2025-11-28,,,BRK,"W, 115-103",,,7.0,16.0,0.438,4.0,10.0,0.4,3.0,6.0,0.5,0.563,2.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,0.0,0.0,1.0,20.0,18.5,18.0
Jared McCain,mccaija01,2026,10,33.0,19.0,2025-11-30,,,ATL,"L, 134-142 (2OT)",,,2.0,7.0,0.286,1.0,2.0,0.5,1.0,5.0,0.2,0.357,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,-18.0
