player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Yves Missi,missiyv01,2026,1,74.0,1.0,2025-10-22,,,MEM,"L, 122-128",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,1.0,2.0,0.5,3.0,4.0,7.0,1.0,1.0,1.0,3.0,5.0,5.0,3.3,14.0
Yves Missi,missiyv01,2026,2,75.0,3.0,2025-10-27,,,BOS,"L, 90-122",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,5.0,5.0,1.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,2.0,11.0,13.0,-9.0
Yves Missi,missiyv01,2026,3,76.0,4.0,2025-10-29,,,DEN,"L, 88-122",,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,0.0,5.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,10.0,8.4,-13.0
Yves Missi,missiyv01,2026,4,77.0,5.0,2025-10-31,,,LAC,"L, 124-126",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,5.0,4.0,9.0,3.0,0.0,1.0,3.0,2.0,6.0,8.1,0.0
Yves Missi,missiyv01,2026,5,78.0,6.0,2025-11-02,,,OKC,"L, 106-137",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,3.0,4.0,0.75,5.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,7.0,8.4,-14.0
Yves Missi,missiyv01,2026,6,79.0,11.0,2025-11-12,,,POR,"L, 117-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,-1.0
Yves Missi,missiyv01,2026,7,80.0,12.0,2025-11-14,,,LAL,"L, 104-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-8.0
Yves Missi,missiyv01,2026,8,81.0,13.0,2025-11-16,,,GSW,"L, 106-124",,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,0.0,2.0,0.0,6.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,8.0,9.4,-3.0
Yves Missi,missiyv01,2026,9,82.0,14.0,2025-11-17,,,OKC,"L, 109-126",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,4.7,-15.0
Yves Missi,missiyv01,2026,10,83.0,15.0,2025-11-19,,,DEN,"L, 118-125",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,3.0,4.0,0.75,6.0,2.0,8.0,2.0,0.0,0.0,0.0,4.0,7.0,8.5,-3.0
