player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ajay Mitchell,mitchaj01,2026,1,37.0,1.0,2025-10-21,,,HOU,"W, 125-124 (2OT)",,,6.0,12.0,0.5,3.0,6.0,0.5,3.0,6.0,0.5,0.625,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,16.0,12.3,2.0
Ajay Mitchell,mitchaj01,2026,2,38.0,2.0,2025-10-23,,,IND,"W, 141-135 (2OT)",,,9.0,19.0,0.474,0.0,3.0,0.0,9.0,16.0,0.563,0.474,8.0,8.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,26.0,19.6,12.0
Ajay Mitchell,mitchaj01,2026,3,39.0,3.0,2025-10-25,,,ATL,"W, 117-100",,,6.0,14.0,0.429,2.0,3.0,0.667,4.0,11.0,0.364,0.5,0.0,0.0,,2.0,5.0,7.0,7.0,2.0,0.0,0.0,3.0,14.0,15.2,-1.0
Ajay Mitchell,mitchaj01,2026,4,40.0,4.0,2025-10-27,,,DAL,"W, 101-94",,,7.0,14.0,0.5,0.0,4.0,0.0,7.0,10.0,0.7,0.5,3.0,3.0,1.0,2.0,5.0,7.0,1.0,1.0,0.0,2.0,3.0,17.0,11.4,-2.0
Ajay Mitchell,mitchaj01,2026,5,41.0,5.0,2025-10-28,,,SAC,"W, 107-101",,,7.0,15.0,0.467,3.0,7.0,0.429,4.0,8.0,0.5,0.567,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,18.0,7.0,7.0
Ajay Mitchell,mitchaj01,2026,6,42.0,6.0,2025-10-30,,,WAS,"W, 127-108",,,6.0,15.0,0.4,2.0,7.0,0.286,4.0,8.0,0.5,0.467,6.0,6.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,20.0,14.4,9.0
Ajay Mitchell,mitchaj01,2026,7,43.0,7.0,2025-11-02,,,NOP,"W, 137-106",,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,6.0,8.0,0.75,1.0,4.0,5.0,8.0,1.0,0.0,2.0,1.0,10.0,10.5,19.0
Ajay Mitchell,mitchaj01,2026,8,44.0,8.0,2025-11-04,,,LAC,"W, 126-107",,,4.0,10.0,0.4,0.0,1.0,0.0,4.0,9.0,0.444,0.4,0.0,0.0,,2.0,2.0,4.0,3.0,4.0,0.0,2.0,2.0,8.0,7.9,31.0
Ajay Mitchell,mitchaj01,2026,9,45.0,9.0,2025-11-05,,,POR,"L, 119-121",*,,7.0,11.0,0.636,0.0,1.0,0.0,7.0,10.0,0.7,0.636,7.0,7.0,1.0,0.0,4.0,4.0,3.0,1.0,0.0,5.0,3.0,21.0,14.2,-3.0
Ajay Mitchell,mitchaj01,2026,10,46.0,10.0,2025-11-07,,,SAC,"W, 132-101",*,,5.0,12.0,0.417,2.0,2.0,1.0,3.0,10.0,0.3,0.5,6.0,6.0,1.0,1.0,4.0,5.0,10.0,3.0,1.0,2.0,1.0,18.0,21.8,26.0
