player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ja Morant,moranja01,2026,1,308.0,1.0,2025-10-22,,,NOP,"W, 128-122",*,,13.0,20.0,0.65,2.0,6.0,0.333,11.0,14.0,0.786,0.7,7.0,8.0,0.875,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,35.0,27.0,0.0
Ja Morant,moranja01,2026,2,309.0,2.0,2025-10-24,,,MIA,"L, 114-146",*,,4.0,16.0,0.25,0.0,4.0,0.0,4.0,12.0,0.333,0.25,4.0,4.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,2.0,12.0,3.8,-22.0
Ja Morant,moranja01,2026,3,310.0,3.0,2025-10-25,,,IND,"W, 128-103",*,,5.0,14.0,0.357,0.0,2.0,0.0,5.0,12.0,0.417,0.357,9.0,9.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,3.0,19.0,17.5,7.0
Ja Morant,moranja01,2026,4,311.0,4.0,2025-10-27,,,GSW,"L, 118-131",*,,8.0,23.0,0.348,0.0,6.0,0.0,8.0,17.0,0.471,0.348,7.0,7.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,3.0,0.0,23.0,15.3,-16.0
Ja Morant,moranja01,2026,5,312.0,5.0,2025-10-29,,,PHO,"W, 114-113",*,,10.0,19.0,0.526,3.0,8.0,0.375,7.0,11.0,0.636,0.605,5.0,5.0,1.0,1.0,7.0,8.0,7.0,2.0,0.0,6.0,1.0,28.0,22.0,13.0
Ja Morant,moranja01,2026,6,313.0,6.0,2025-10-31,,,LAL,"L, 112-117",*,,3.0,14.0,0.214,0.0,6.0,0.0,3.0,8.0,0.375,0.214,2.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,8.0,4.2,-4.0
Ja Morant,moranja01,2026,7,314.0,8.0,2025-11-03,,,DET,"L, 106-114",*,,5.0,16.0,0.313,0.0,4.0,0.0,5.0,12.0,0.417,0.313,8.0,9.0,0.889,0.0,5.0,5.0,10.0,1.0,0.0,5.0,2.0,18.0,12.1,-5.0
Ja Morant,moranja01,2026,8,315.0,9.0,2025-11-05,,,HOU,"L, 109-124",*,,6.0,19.0,0.316,1.0,7.0,0.143,5.0,12.0,0.417,0.342,4.0,4.0,1.0,2.0,3.0,5.0,8.0,1.0,1.0,6.0,3.0,17.0,8.5,-15.0
Ja Morant,moranja01,2026,9,316.0,10.0,2025-11-07,,,DAL,"W, 118-104",*,,7.0,20.0,0.35,0.0,4.0,0.0,7.0,16.0,0.438,0.35,7.0,7.0,1.0,1.0,4.0,5.0,13.0,3.0,0.0,7.0,5.0,21.0,14.8,28.0
Ja Morant,moranja01,2026,10,317.0,11.0,2025-11-09,,,OKC,"L, 100-114",*,,3.0,18.0,0.167,2.0,7.0,0.286,1.0,11.0,0.091,0.222,3.0,4.0,0.75,0.0,3.0,3.0,8.0,1.0,0.0,3.0,5.0,11.0,1.7,-23.0
