player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Svi Mykhailiuk,mykhasv01,2026,1,332.0,1.0,2025-10-22,,,LAC,"W, 129-108",*,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,9.0,10.8,20.0
Svi Mykhailiuk,mykhasv01,2026,2,333.0,2.0,2025-10-24,,,SAC,"L, 104-105",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,9.0,4.9,14.0
Svi Mykhailiuk,mykhasv01,2026,3,334.0,3.0,2025-10-27,,,PHO,"W, 138-134 (OT)",*,,4.0,8.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,0.625,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,0.0,1.0,3.0,11.0,12.6,28.0
Svi Mykhailiuk,mykhasv01,2026,4,335.0,4.0,2025-10-29,,,POR,"L, 134-136",*,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,6.4,-1.0
Svi Mykhailiuk,mykhasv01,2026,5,336.0,5.0,2025-10-31,,,PHO,"L, 96-118",*,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.9,-1.0
Svi Mykhailiuk,mykhasv01,2026,6,337.0,6.0,2025-11-02,,,CHO,"L, 103-126",*,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,2.1,-15.0
Svi Mykhailiuk,mykhasv01,2026,7,338.0,7.0,2025-11-03,,,BOS,"W, 105-103",*,,4.0,12.0,0.333,1.0,8.0,0.125,3.0,4.0,0.75,0.375,0.0,0.0,,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,4.7,-7.0
Svi Mykhailiuk,mykhasv01,2026,8,339.0,8.0,2025-11-05,,,DET,"L, 103-114",*,,10.0,16.0,0.625,6.0,11.0,0.545,4.0,5.0,0.8,0.813,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,28.0,22.0,-7.0
Svi Mykhailiuk,mykhasv01,2026,9,340.0,9.0,2025-11-07,,,MIN,"L, 97-137",*,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,6.0,4.6,-27.0
Svi Mykhailiuk,mykhasv01,2026,10,341.0,10.0,2025-11-10,,,MIN,"L, 113-120",*,,4.0,13.0,0.308,3.0,11.0,0.273,1.0,2.0,0.5,0.423,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,11.0,4.4,-17.0
Svi Mykhailiuk,mykhasv01,2026,11,342.0,11.0,2025-11-11,,,IND,"W, 152-128",*,,8.0,10.0,0.8,3.0,5.0,0.6,5.0,5.0,1.0,0.95,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,20.0,19.9,9.0
Svi Mykhailiuk,mykhasv01,2026,12,343.0,12.0,2025-11-13,,,ATL,"L, 122-132",*,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,-0.8,-4.0
Svi Mykhailiuk,mykhasv01,2026,13,344.0,13.0,2025-11-16,,,CHI,"W, 150-147 (2OT)",*,,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,10.0,9.4,-11.0
Svi Mykhailiuk,mykhasv01,2026,14,345.0,14.0,2025-11-18,,,LAL,"L, 126-140",*,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,13.0,9.9,-5.0
Svi Mykhailiuk,mykhasv01,2026,15,346.0,15.0,2025-11-21,,,OKC,"L, 112-144",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,8.0,2.1,5.0
Svi Mykhailiuk,mykhasv01,2026,16,347.0,16.0,2025-11-23,,,LAL,"L, 106-108",*,,5.0,9.0,0.556,2.0,5.0,0.4,3.0,4.0,0.75,0.667,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,12.0,10.4,9.0
Svi Mykhailiuk,mykhasv01,2026,17,348.0,17.0,2025-11-24,,,GSW,"L, 117-134",*,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,-0.2,-22.0
Svi Mykhailiuk,mykhasv01,2026,18,349.0,18.0,2025-11-28,,,SAC,"W, 128-119",*,,4.0,7.0,0.571,1.0,4.0,0.25,3.0,3.0,1.0,0.643,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,9.0,7.4,4.0
Svi Mykhailiuk,mykhasv01,2026,19,350.0,19.0,2025-11-30,,,HOU,"L, 101-129",*,,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,11.0,7.9,-17.0
