player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ryan Nembhard,nembhry01,2026,1,1.0,1.0,2025-10-22,,,SAS,"L, 92-125",,,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,0.6,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,8.0,6.2,-4.0
Ryan Nembhard,nembhry01,2026,2,2.0,2.0,2025-10-24,,,WAS,"L, 107-117",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.1,-15.0
Ryan Nembhard,nembhry01,2026,3,3.0,3.0,2025-10-26,,,TOR,"W, 139-129",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.4,-6.0
Ryan Nembhard,nembhry01,2026,4,4.0,9.0,2025-11-07,,,MEM,"L, 104-118",,,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.7,13.0
Ryan Nembhard,nembhry01,2026,5,5.0,10.0,2025-11-08,,,WAS,"W, 111-105",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.7,-7.0
Ryan Nembhard,nembhry01,2026,6,6.0,19.0,2025-11-24,,,MIA,"L, 102-106",,,1.0,7.0,0.143,0.0,2.0,0.0,1.0,5.0,0.2,0.143,0.0,0.0,,0.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,3.3,9.0
Ryan Nembhard,nembhry01,2026,7,7.0,20.0,2025-11-28,,,LAL,"L, 119-129",*,,7.0,11.0,0.636,3.0,5.0,0.6,4.0,6.0,0.667,0.773,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,2.0,3.0,17.0,13.7,-16.0
Ryan Nembhard,nembhry01,2026,8,8.0,21.0,2025-11-29,,,LAC,"W, 114-110",*,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,8.0,2.8,-12.0
Ryan Nembhard,nembhry01,2026,9,9.0,22.0,2025-12-01,,,DEN,"W, 131-121",*,,12.0,14.0,0.857,4.0,5.0,0.8,8.0,9.0,0.889,1.0,0.0,0.0,,0.0,3.0,3.0,10.0,0.0,0.0,0.0,4.0,28.0,29.3,9.0
Ryan Nembhard,nembhry01,2026,10,10.0,23.0,2025-12-03,,,MIA,"W, 118-108",*,,6.0,10.0,0.6,3.0,3.0,1.0,3.0,7.0,0.429,0.75,0.0,0.0,,0.0,5.0,5.0,13.0,1.0,0.0,1.0,2.0,15.0,20.2,12.0
Ryan Nembhard,nembhry01,2026,11,11.0,24.0,2025-12-05,,,OKC,"L, 111-132",*,,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,10.0,8.3,-18.0
Ryan Nembhard,nembhry01,2026,12,12.0,25.0,2025-12-06,,,HOU,"W, 122-109",*,,5.0,7.0,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,0.0,0.0,,1.0,0.0,1.0,7.0,1.0,0.0,2.0,2.0,11.0,11.9,0.0
