player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Duop Reath,reathdu01,2026,1,115.0,2.0,2025-10-24,,,GSW,"W, 139-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,-3.0
Duop Reath,reathdu01,2026,2,116.0,4.0,2025-10-27,,,LAL,"W, 122-108",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0.0
Duop Reath,reathdu01,2026,3,117.0,5.0,2025-10-29,,,UTA,"W, 136-134",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,6.2,4.0
Duop Reath,reathdu01,2026,4,118.0,6.0,2025-10-31,,,DEN,"W, 109-107",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,4.0
Duop Reath,reathdu01,2026,5,119.0,8.0,2025-11-05,,,OKC,"W, 121-119",,,4.0,5.0,0.8,4.0,5.0,0.8,0.0,0.0,,1.2,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,11.5,21.0
Duop Reath,reathdu01,2026,6,120.0,9.0,2025-11-08,,,MIA,"L, 131-136",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,4.6,-14.0
Duop Reath,reathdu01,2026,7,121.0,10.0,2025-11-10,,,ORL,"L, 112-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.2,-4.0
Duop Reath,reathdu01,2026,8,122.0,11.0,2025-11-12,,,NOP,"W, 125-117",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,-1.0
Duop Reath,reathdu01,2026,9,123.0,12.0,2025-11-14,,,HOU,"L, 116-140",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.3,1.0
Duop Reath,reathdu01,2026,10,124.0,14.0,2025-11-18,,,PHO,"L, 110-127",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.6,5.0
Duop Reath,reathdu01,2026,11,125.0,15.0,2025-11-19,,,CHI,"L, 121-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
