player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jase Richardson,richaja01,2026,1,1.0,3.0,2025-10-25,,,CHI,"L, 98-110",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.5,-5.0
Jase Richardson,richaja01,2026,2,2.0,4.0,2025-10-27,,,PHI,"L, 124-136",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
Jase Richardson,richaja01,2026,3,3.0,5.0,2025-10-29,,,DET,"L, 116-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3,-1.0
Jase Richardson,richaja01,2026,4,4.0,6.0,2025-10-30,,,CHO,"W, 123-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,-2.0
Jase Richardson,richaja01,2026,5,5.0,7.0,2025-11-01,,,WAS,"W, 125-94",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,9.0
Jase Richardson,richaja01,2026,6,6.0,8.0,2025-11-04,,,ATL,"L, 112-127",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
Jase Richardson,richaja01,2026,7,7.0,12.0,2025-11-12,,,NYK,"W, 124-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Jase Richardson,richaja01,2026,8,8.0,16.0,2025-11-20,,,LAC,"W, 129-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.7,10.0
Jase Richardson,richaja01,2026,9,9.0,17.0,2025-11-22,,,NYK,"W, 133-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3.0
Jase Richardson,richaja01,2026,10,10.0,18.0,2025-11-23,,,BOS,"L, 129-138",,,7.0,11.0,0.636,3.0,4.0,0.75,4.0,7.0,0.571,0.773,1.0,1.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,18.0,16.0,8.0
Jase Richardson,richaja01,2026,11,11.0,19.0,2025-11-25,,,PHI,"W, 144-103",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,4.6,3.0
Jase Richardson,richaja01,2026,12,12.0,22.0,2025-12-03,,,SAS,"L, 112-114",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,8.0,9.6,9.0
Jase Richardson,richaja01,2026,13,13.0,23.0,2025-12-05,,,MIA,"W, 106-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-6.0
Jase Richardson,richaja01,2026,14,14.0,24.0,2025-12-07,,,NYK,"L, 100-106",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,1.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,6.3,6.0
Jase Richardson,richaja01,2026,15,15.0,26.0,2025-12-13,,,NYK,"L, 120-132",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,9.1,-2.0
Jase Richardson,richaja01,2026,16,16.0,27.0,2025-12-18,,,DEN,"L, 115-126",,,4.0,9.0,0.444,1.0,3.0,0.333,3.0,6.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,9.0,4.2,1.0
Jase Richardson,richaja01,2026,17,17.0,28.0,2025-12-20,,,UTA,"W, 128-127 (OT)",,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,10.0,4.4,8.0
Jase Richardson,richaja01,2026,18,18.0,29.0,2025-12-22,,,GSW,"L, 97-120",,,5.0,11.0,0.455,1.0,3.0,0.333,4.0,8.0,0.5,0.5,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,11.0,5.6,-21.0
Jase Richardson,richaja01,2026,19,19.0,30.0,2025-12-23,,,POR,"W, 110-106",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.4,-8.0
Jase Richardson,richaja01,2026,20,20.0,31.0,2025-12-26,,,CHO,"L, 105-120",,,5.0,7.0,0.714,1.0,2.0,0.5,4.0,5.0,0.8,0.786,3.0,4.0,0.75,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,14.0,13.3,-4.0
Jase Richardson,richaja01,2026,21,21.0,32.0,2025-12-27,,,DEN,"W, 127-126",,,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,2.0,3.0,0.667,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,2.4,15.0
