player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Max Strus,strusma01,2026,1,310.0,68.0,2026-03-15,,,DAL,"L, 120-130",,,7.0,9.0,0.778,6.0,7.0,0.857,1.0,2.0,0.5,1.111,4.0,4.0,1.0,3.0,5.0,8.0,1.0,0.0,0.0,1.0,5.0,24.0,21.8,0.0
Max Strus,strusma01,2026,2,311.0,69.0,2026-03-17,,,MIL,"W, 123-116",,,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,5.0,6.0,4.0,0.0,0.0,1.0,5.0,6.0,4.6,1.0
Max Strus,strusma01,2026,3,312.0,70.0,2026-03-19,,,CHI,"W, 115-110",,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,6.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,-0.4,-7.0
Max Strus,strusma01,2026,4,313.0,71.0,2026-03-21,,,NOP,"W, 111-106",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,2.0,6.0,8.0,2.0,0.0,0.0,1.0,2.0,5.0,5.1,-6.0
Max Strus,strusma01,2026,5,314.0,72.0,2026-03-24,,,ORL,"W, 136-131",,,4.0,10.0,0.4,3.0,8.0,0.375,1.0,2.0,0.5,0.55,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,11.0,8.8,13.0
Max Strus,strusma01,2026,6,315.0,74.0,2026-03-27,,,MIA,"W, 149-128",,,10.0,14.0,0.714,8.0,11.0,0.727,2.0,3.0,0.667,1.0,1.0,2.0,0.5,1.0,7.0,8.0,1.0,0.0,0.0,1.0,2.0,29.0,24.5,22.0
Max Strus,strusma01,2026,7,316.0,76.0,2026-03-31,,,LAL,"L, 113-127",*,,4.0,8.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,0.688,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,11.0,7.0,-10.0
Max Strus,strusma01,2026,8,317.0,77.0,2026-04-02,,,GSW,"W, 118-111",*,,9.0,14.0,0.643,6.0,10.0,0.6,3.0,4.0,0.75,0.857,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,2.0,3.0,24.0,17.5,17.0
Max Strus,strusma01,2026,9,318.0,78.0,2026-04-05,,,IND,"W, 117-108",*,,1.0,10.0,0.1,1.0,9.0,0.111,0.0,1.0,0.0,0.15,1.0,2.0,0.5,0.0,7.0,7.0,5.0,0.0,0.0,0.0,3.0,4.0,1.4,-8.0
Max Strus,strusma01,2026,10,319.0,80.0,2026-04-08,,,ATL,"W, 122-116",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0,4.9,-2.0
Max Strus,strusma01,2026,11,320.0,81.0,2026-04-10,,,ATL,"L, 102-124",*,,1.0,9.0,0.111,0.0,4.0,0.0,1.0,5.0,0.2,0.111,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,-3.9,-30.0
Max Strus,strusma01,2026,12,321.0,82.0,2026-04-12,,,WAS,"W, 130-117",*,,4.0,9.0,0.444,1.0,6.0,0.167,3.0,3.0,1.0,0.5,1.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,10.0,6.8,7.0
