player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ethan Thompson,thompet01,2026,1,1.0,21.0,2025-12-01,,,CLE,"L, 119-135",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.3,1.0
Ethan Thompson,thompet01,2026,2,2.0,22.0,2025-12-03,,,DEN,"L, 120-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Thompson,thompet01,2026,3,3.0,23.0,2025-12-05,,,CHI,"W, 120-105",,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,2.0,0.0,4.0,11.0,11.9,25.0
Ethan Thompson,thompet01,2026,4,4.0,24.0,2025-12-08,,,SAC,"W, 116-105",*,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,3.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,6.0,7.9,0.0
Ethan Thompson,thompet01,2026,5,5.0,25.0,2025-12-12,,,PHI,"L, 105-115",*,,4.0,10.0,0.4,2.0,7.0,0.286,2.0,3.0,0.667,0.5,2.0,3.0,0.667,1.0,1.0,2.0,3.0,0.0,0.0,0.0,6.0,12.0,6.9,-8.0
Ethan Thompson,thompet01,2026,6,6.0,26.0,2025-12-14,,,WAS,"L, 89-108",*,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,-15.0
Ethan Thompson,thompet01,2026,7,7.0,27.0,2025-12-18,,,NYK,"L, 113-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Ethan Thompson,thompet01,2026,8,8.0,28.0,2025-12-20,,,NOP,"L, 109-128",,,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,7.0,4.1,1.0
Ethan Thompson,thompet01,2026,9,9.0,29.0,2025-12-22,,,BOS,"L, 95-103",*,,5.0,12.0,0.417,3.0,9.0,0.333,2.0,3.0,0.667,0.542,0.0,0.0,,2.0,2.0,4.0,4.0,1.0,0.0,2.0,2.0,13.0,9.6,0.0
Ethan Thompson,thompet01,2026,10,10.0,30.0,2025-12-23,,,MIL,"L, 94-111",*,,1.0,7.0,0.143,1.0,4.0,0.25,0.0,3.0,0.0,0.214,0.0,0.0,,1.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,2.3,1.0
