player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tristan Vukcevic,vukcetr01,2026,1,46.0,1.0,2025-10-22,,,MIL,"L, 120-133",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Tristan Vukcevic,vukcetr01,2026,2,47.0,2.0,2025-10-24,,,DAL,"W, 117-107",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,-0.5,11.0
Tristan Vukcevic,vukcetr01,2026,3,48.0,3.0,2025-10-26,,,CHO,"L, 113-139",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,4.1,-1.0
Tristan Vukcevic,vukcetr01,2026,4,49.0,5.0,2025-10-30,,,OKC,"L, 108-127",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0
Tristan Vukcevic,vukcetr01,2026,5,50.0,6.0,2025-11-01,,,ORL,"L, 94-125",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.8,-7.0
Tristan Vukcevic,vukcetr01,2026,6,51.0,7.0,2025-11-03,,,NYK,"L, 102-119",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,3.0,0.667,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,4.2,4.0
Tristan Vukcevic,vukcetr01,2026,7,52.0,8.0,2025-11-05,,,BOS,"L, 107-136",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.7,-2.0
Tristan Vukcevic,vukcetr01,2026,8,53.0,9.0,2025-11-07,,,CLE,"L, 115-148",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.6,-5.0
Tristan Vukcevic,vukcetr01,2026,9,54.0,12.0,2025-11-12,,,HOU,"L, 112-135",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-6.0
Tristan Vukcevic,vukcetr01,2026,10,55.0,13.0,2025-11-16,,,BRK,"L, 106-129",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,-8.0
Tristan Vukcevic,vukcetr01,2026,11,56.0,14.0,2025-11-19,,,MIN,"L, 109-120",,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,6.0,7.0,-0.2,-24.0
Tristan Vukcevic,vukcetr01,2026,12,57.0,15.0,2025-11-21,,,TOR,"L, 110-140",*,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,1.6,-15.0
Tristan Vukcevic,vukcetr01,2026,13,58.0,16.0,2025-11-22,,,CHI,"L, 120-121",,,5.0,11.0,0.455,2.0,6.0,0.333,3.0,5.0,0.6,0.545,0.0,0.0,,1.0,7.0,8.0,2.0,2.0,2.0,2.0,1.0,12.0,11.5,7.0
Tristan Vukcevic,vukcetr01,2026,14,59.0,17.0,2025-11-25,,,ATL,"W, 132-113",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,7.0,4.5,-11.0
Tristan Vukcevic,vukcetr01,2026,15,60.0,18.0,2025-11-28,,,IND,"L, 86-119",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,3.0,4.0,0.75,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,5.0,2.6,-19.0
Tristan Vukcevic,vukcetr01,2026,16,61.0,19.0,2025-12-01,,,MIL,"W, 129-126",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,7.0,8.0,0.875,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,16.0,14.1,6.0
Tristan Vukcevic,vukcetr01,2026,17,62.0,20.0,2025-12-02,,,PHI,"L, 102-121",,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,4.0,7.0,0.571,1.0,3.0,4.0,4.0,1.0,0.0,3.0,2.0,16.0,12.5,-28.0
Tristan Vukcevic,vukcetr01,2026,18,63.0,21.0,2025-12-04,,,BOS,"L, 101-146",,,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,0.6,4.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,3.0,10.0,9.5,-9.0
Tristan Vukcevic,vukcetr01,2026,19,64.0,22.0,2025-12-06,,,ATL,"L, 116-131",,,7.0,14.0,0.5,1.0,6.0,0.167,6.0,8.0,0.75,0.536,3.0,3.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,18.0,14.7,-8.0
Tristan Vukcevic,vukcetr01,2026,20,65.0,23.0,2025-12-12,,,CLE,"L, 126-130",,,3.0,7.0,0.429,0.0,2.0,0.0,3.0,5.0,0.6,0.429,8.0,8.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,3.0,3.0,14.0,9.8,-16.0
Tristan Vukcevic,vukcetr01,2026,21,66.0,24.0,2025-12-14,,,IND,"W, 108-89",,,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,2.0,3.0,0.667,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,6.0,-0.4,8.0
Tristan Vukcevic,vukcetr01,2026,22,67.0,25.0,2025-12-18,,,SAS,"L, 94-119",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.3,-2.0
Tristan Vukcevic,vukcetr01,2026,23,68.0,27.0,2025-12-21,,,SAS,"L, 113-124",*,,8.0,19.0,0.421,2.0,9.0,0.222,6.0,10.0,0.6,0.474,0.0,2.0,0.0,2.0,7.0,9.0,0.0,0.0,3.0,0.0,4.0,18.0,11.1,-10.0
Tristan Vukcevic,vukcetr01,2026,24,69.0,28.0,2025-12-23,,,CHO,"L, 109-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Tristan Vukcevic,vukcetr01,2026,25,70.0,29.0,2025-12-26,,,TOR,"W, 138-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.4,3.0
Tristan Vukcevic,vukcetr01,2026,26,71.0,34.0,2026-01-04,,,MIN,"L, 115-141",,,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,0.6,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,8.0,7.8,5.0
Tristan Vukcevic,vukcetr01,2026,27,72.0,36.0,2026-01-07,,,PHI,"L, 110-131",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.1,-3.0
Tristan Vukcevic,vukcetr01,2026,28,73.0,37.0,2026-01-09,,,NOP,"L, 107-128",,,4.0,14.0,0.286,0.0,4.0,0.0,4.0,10.0,0.4,0.286,7.0,10.0,0.7,2.0,2.0,4.0,2.0,0.0,5.0,2.0,1.0,15.0,10.1,10.0
Tristan Vukcevic,vukcetr01,2026,29,74.0,38.0,2026-01-11,,,PHO,"L, 93-112",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.6,7.0
Tristan Vukcevic,vukcetr01,2026,30,75.0,39.0,2026-01-14,,,LAC,"L, 105-119",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,3.0,5.0,0.6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,7.9,-12.0
Tristan Vukcevic,vukcetr01,2026,31,76.0,50.0,2026-02-05,,,DET,"W, 126-117",,,5.0,7.0,0.714,3.0,4.0,0.75,2.0,3.0,0.667,0.929,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,14.0,11.9,3.0
Tristan Vukcevic,vukcetr01,2026,32,77.0,51.0,2026-02-07,,,BRK,"L, 113-127",*,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,14.0,9.5,-2.0
Tristan Vukcevic,vukcetr01,2026,33,78.0,52.0,2026-02-08,,,MIA,"L, 101-132",,,5.0,11.0,0.455,4.0,5.0,0.8,1.0,6.0,0.167,0.636,0.0,0.0,,3.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,14.0,8.4,-17.0
Tristan Vukcevic,vukcetr01,2026,34,79.0,54.0,2026-02-19,,,IND,"W, 112-105",*,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,2.0,2.0,1.0,0.0,5.0,5.0,2.0,5.0,1.0,0.0,1.0,12.0,16.9,4.0
Tristan Vukcevic,vukcetr01,2026,35,80.0,55.0,2026-02-20,,,IND,"W, 131-118",*,,7.0,12.0,0.583,0.0,5.0,0.0,7.0,7.0,1.0,0.583,0.0,0.0,,2.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,14.0,12.6,4.0
Tristan Vukcevic,vukcetr01,2026,36,81.0,57.0,2026-02-24,,,ATL,"L, 98-119",*,,2.0,6.0,0.333,1.0,2.0,0.5,1.0,4.0,0.25,0.417,0.0,0.0,,0.0,6.0,6.0,1.0,0.0,1.0,3.0,1.0,5.0,1.4,-17.0
Tristan Vukcevic,vukcetr01,2026,37,82.0,58.0,2026-02-26,,,ATL,"L, 96-126",*,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,4.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,11.0,6.0,-1.0
