player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Blake Wesley,weslebl01,2026,1,157.0,1.0,2025-10-22,,,MIN,"L, 114-118",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,3.0,5.0,0.6,0.0,3.0,3.0,4.0,2.0,0.0,2.0,1.0,7.0,6.8,-2.0
Blake Wesley,weslebl01,2026,2,158.0,2.0,2025-10-24,,,GSW,"W, 139-119",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,1.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,4.0,3.2,1.0
Blake Wesley,weslebl01,2026,3,159.0,3.0,2025-10-26,,,LAC,"L, 107-114",,,2.0,7.0,0.286,0.0,1.0,0.0,2.0,6.0,0.333,0.286,2.0,3.0,0.667,1.0,5.0,6.0,3.0,2.0,0.0,1.0,4.0,6.0,5.2,-3.0
Blake Wesley,weslebl01,2026,4,160.0,4.0,2025-10-27,,,LAL,"W, 122-108",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,2.2,-5.0
Blake Wesley,weslebl01,2026,5,161.0,5.0,2025-10-29,,,UTA,"W, 136-134",,,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.714,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,10.0,9.9,5.0
Blake Wesley,weslebl01,2026,6,162.0,6.0,2025-10-31,,,DEN,"W, 109-107",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.3,-4.0
Blake Wesley,weslebl01,2026,7,163.0,50.0,2026-02-01,,,CLE,"L, 111-130",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,2.0,1.0,3.0,4.0,1.0,0.0,3.0,2.0,5.0,5.4,-2.0
Blake Wesley,weslebl01,2026,8,164.0,51.0,2026-02-03,,,PHO,"L, 125-130",,,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,10.0,7.3,-2.0
Blake Wesley,weslebl01,2026,9,165.0,52.0,2026-02-06,,,MEM,"W, 135-115",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,4.4,1.0
Blake Wesley,weslebl01,2026,10,166.0,53.0,2026-02-07,,,MEM,"W, 122-115",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,4.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,5.2,-11.0
Blake Wesley,weslebl01,2026,11,167.0,54.0,2026-02-09,,,PHI,"W, 135-118",,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.4,-9.0
Blake Wesley,weslebl01,2026,12,168.0,55.0,2026-02-11,,,MIN,"L, 109-133",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,1.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,2.0,0.0,4.0,5.0,-6.0
Blake Wesley,weslebl01,2026,13,169.0,56.0,2026-02-12,,,UTA,"W, 135-119",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-12.0
Blake Wesley,weslebl01,2026,14,170.0,57.0,2026-02-20,,,DEN,"L, 103-157",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,4.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,3.1,-14.0
Blake Wesley,weslebl01,2026,15,171.0,58.0,2026-02-22,,,PHO,"W, 92-77",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
