player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trae Young,youngtr01,2026,1,484.0,1.0,2025-10-22,,,TOR,"L, 118-138",*,,5.0,14.0,0.357,1.0,7.0,0.143,4.0,7.0,0.571,0.393,11.0,13.0,0.846,0.0,1.0,1.0,5.0,1.0,0.0,2.0,4.0,22.0,14.6,-14.0
Trae Young,youngtr01,2026,2,485.0,2.0,2025-10-24,,,ORL,"W, 111-107",*,,7.0,18.0,0.389,1.0,6.0,0.167,6.0,12.0,0.5,0.417,10.0,12.0,0.833,0.0,1.0,1.0,6.0,3.0,0.0,1.0,0.0,25.0,20.9,8.0
Trae Young,youngtr01,2026,3,486.0,3.0,2025-10-25,,,OKC,"L, 100-117",*,,5.0,12.0,0.417,2.0,3.0,0.667,3.0,9.0,0.333,0.5,3.0,4.0,0.75,0.0,4.0,4.0,10.0,0.0,0.0,5.0,2.0,15.0,10.6,-12.0
Trae Young,youngtr01,2026,4,487.0,4.0,2025-10-27,,,CHI,"L, 123-128",*,,7.0,22.0,0.318,1.0,10.0,0.1,6.0,12.0,0.5,0.341,6.0,7.0,0.857,0.0,3.0,3.0,17.0,0.0,0.0,1.0,2.0,21.0,19.0,-5.0
Trae Young,youngtr01,2026,5,488.0,5.0,2025-10-29,,,BRK,"W, 117-112",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,2.0,3.0,0.667,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,3.9,-1.0
Trae Young,youngtr01,2026,6,489.0,28.0,2025-12-18,,,CHO,"L, 126-133",*,,3.0,8.0,0.375,0.0,5.0,0.0,3.0,3.0,1.0,0.375,2.0,2.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,3.0,2.0,8.0,8.1,-3.0
Trae Young,youngtr01,2026,7,490.0,30.0,2025-12-21,,,CHI,"L, 150-152",*,,10.0,16.0,0.625,7.0,9.0,0.778,3.0,7.0,0.429,0.844,8.0,9.0,0.889,0.0,1.0,1.0,9.0,0.0,0.0,2.0,3.0,35.0,30.8,2.0
Trae Young,youngtr01,2026,8,491.0,31.0,2025-12-23,,,CHI,"L, 123-126",*,,7.0,16.0,0.438,1.0,7.0,0.143,6.0,9.0,0.667,0.469,7.0,9.0,0.778,0.0,1.0,1.0,15.0,2.0,0.0,1.0,1.0,22.0,24.2,2.0
Trae Young,youngtr01,2026,9,492.0,32.0,2025-12-26,,,MIA,"L, 111-126",*,,8.0,16.0,0.5,5.0,8.0,0.625,3.0,8.0,0.375,0.656,9.0,9.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,4.0,2.0,30.0,23.0,-1.0
Trae Young,youngtr01,2026,10,493.0,33.0,2025-12-27,,,NYK,"L, 125-128",*,,2.0,9.0,0.222,0.0,4.0,0.0,2.0,5.0,0.4,0.222,5.0,5.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,6.0,3.0,9.0,5.3,-13.0
Trae Young,youngtr01,2026,11,494.0,62.0,2026-03-05,,,UTA,"L, 112-122",*,,4.0,9.0,0.444,1.0,5.0,0.2,3.0,4.0,0.75,0.5,3.0,6.0,0.5,1.0,1.0,2.0,6.0,2.0,0.0,3.0,0.0,12.0,10.3,4.0
Trae Young,youngtr01,2026,12,495.0,63.0,2026-03-08,,,NOP,"L, 118-138",*,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,6.0,8.0,0.75,1.0,3.0,4.0,8.0,0.0,0.0,4.0,3.0,17.0,15.6,0.0
Trae Young,youngtr01,2026,13,496.0,65.0,2026-03-12,,,ORL,"L, 131-136 (OT)",*,,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,3.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,4.0,15.0,13.6,-13.0
Trae Young,youngtr01,2026,14,497.0,66.0,2026-03-14,,,BOS,"L, 100-111",*,,5.0,10.0,0.5,0.0,2.0,0.0,5.0,8.0,0.625,0.5,1.0,2.0,0.5,1.0,3.0,4.0,6.0,0.0,0.0,1.0,2.0,11.0,9.6,-23.0
Trae Young,youngtr01,2026,15,498.0,67.0,2026-03-16,,,GSW,"L, 117-125",*,,7.0,10.0,0.7,3.0,5.0,0.6,4.0,5.0,0.8,0.85,4.0,5.0,0.8,1.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,21.0,18.0,3.0
